0,Unite Here Local 450 (Loews Chicago O'Hare Hotel),13-CB-286119,Rosemont,IL,11/12/2021,,"Region 13, Chicago, Illinois",Open,,
1,United States Postal Service,10-CA-286098,Paducah,KY,11/12/2021,,"Region 10, Atlanta, Georgia",Open,,
2,DFW Security Protective Force,16-CA-286103,Fort Worth,TX,11/12/2021,,"Region 16, Fort Worth, Texas",Open,,
3,Kroger,16-CA-286140,Spring,TX,11/12/2021,,"Region 16, Fort Worth, Texas",Open,,
4,AT&T,09-CA-286149,Columbus,OH,11/12/2021,,"Region 09, Cincinnati, Ohio",Open,,
5,Wells Concrete,27-CA-286156,Brighton,CO,11/12/2021,,"Region 27, Denver, Colorado",Open,,
6,Rogue Trails LLC,14-CA-286092,Springfield,MO,11/12/2021,,"Region 14, Saint Louis, Missouri",Open,,
7,AmeriGas Propane,12-CA-286124,Fort Lauderdale,FL,11/12/2021,,"Region 12, Tampa, Florida",Open,,
8,United States Postal Service,15-CA-286120,Baton Rouge,LA,11/12/2021,,"Region 15, New Orleans, Louisiana",Open,,
9,Causa of Oregon,19-CA-286137,Salem,OR,11/12/2021,,"Region 19, Seattle, Washington",Open,,
10,JJR Construction Group LLC,12-CA-286118,Naguabo,PR,11/12/2021,,"Region 12, Tampa, Florida",Open,,
11,"Sunrise Northeast, Inc.",01-CA-286153,Hartford,CT,11/12/2021,,"Region 01, Boston, Massachusetts",Open,,
12,"Loomis, US",16-CA-286135,Houston,TX,11/12/2021,,"Region 16, Fort Worth, Texas",Open,,
13,"ConocoPhillips Company/ ConocoPhillips Alaska, Inc.",19-CA-286154,Prudhoe Bay,AK,11/12/2021,,"Region 19, Seattle, Washington",Open,,
14,Dixie Hardgoods Company,12-CA-286127,Miami,FL,11/12/2021,,"Region 12, Tampa, Florida",Open,,
15,"Fuelcell Energy, Inc.",01-RC-286116,Danbury,CT,11/12/2021,,"Region 01, Boston, Massachusetts",Open,,
16,"Loews Hotels, LLC",13-CA-286088,Rosemont,IL,11/12/2021,,"Region 13, Chicago, Illinois",Open,,
17,Zepf Center,08-CA-286104,Toledo,OH,11/12/2021,,"Region 08, Cleveland, Ohio",Open,,
18,Grove Bay Hospitality Group,01-CA-286131,Warwick,RI,11/12/2021,,"Region 01, Boston, Massachusetts",Open,,
19,The New York Times,02-CA-286106,Manhattan,NY,11/12/2021,,"Region 02, New York, New York",Open,,
20,Mitchco International,14-CA-286094,Lawton,OK,11/12/2021,,"Region 14, Saint Louis, Missouri",Open,,
21,Wellpath at San Luis Obispo County Jail,31-RC-286145,San Luis Obispo,CA,11/12/2021,,"Region 31, Los Angeles, California",Open,,
22,Federal Emergency Management Agency,05-CA-286150,Washington,DC,11/12/2021,,"Region 05, Baltimore, Maryland",Open,,
23,International Brotherhood of Electrical Workers 716,16-CA-286143,Houston,TX,11/12/2021,,"Region 16, Fort Worth, Texas",Open,,
24,"Alden Estates of Naperville, Inc.",13-CA-286097,Naperville,IL,11/12/2021,,"Region 13, Chicago, Illinois",Open,,
25,Causa of Oregon,19-CA-286138,Salem,OR,11/12/2021,,"Region 19, Seattle, Washington",Open,,
26,Local 32BJ (Akam Management),02-CB-286152,New York,NY,11/12/2021,,"Region 02, New York, New York",Open,,
