Name,"Case Number",City,State,"Date Filed","Region Assigned",Status,"Date Closed","Reason Closed","No. of Eligible Voters","No. of Employees","Certified Representative","Unit Sought"
"Unite Here Local 450 (Loews Chicago O'Hare Hotel)",13-CB-286119,Rosemont,IL,11/12/2021,"Region 13, Chicago, Illinois",Open,,,,50,,
"United States Postal Service",10-CA-286098,Paducah,KY,11/12/2021,"Region 10, Atlanta, Georgia",Open,,,,70,,
"DFW Security Protective Force",16-CA-286103,"Fort Worth",TX,11/12/2021,"Region 16, Fort Worth, Texas",Open,,,,400,,
Kroger,16-CA-286140,Spring,TX,11/12/2021,"Region 16, Fort Worth, Texas",Open,,,,100,,
AT&T,09-CA-286149,Columbus,OH,11/12/2021,"Region 09, Cincinnati, Ohio",Open,,,,500,,
"Wells Concrete",27-CA-286156,Brighton,CO,11/12/2021,"Region 27, Denver, Colorado",Open,,,,150,,
"Rogue Trails LLC",14-CA-286092,Springfield,MO,11/12/2021,"Region 14, Saint Louis, Missouri",Open,,,,8,,
"AmeriGas Propane",12-CA-286124,"Fort Lauderdale",FL,11/12/2021,"Region 12, Tampa, Florida",Open,,,,56,,
"United States Postal Service",15-CA-286120,"Baton Rouge",LA,11/12/2021,"Region 15, New Orleans, Louisiana",Open,,,,50,,
"Causa of Oregon",19-CA-286137,Salem,OR,11/12/2021,"Region 19, Seattle, Washington",Open,,,,10,,
"JJR Construction Group LLC",12-CA-286118,Naguabo,PR,11/12/2021,"Region 12, Tampa, Florida",Open,,,,16,,
"Sunrise Northeast, Inc.",01-CA-286153,Hartford,CT,11/12/2021,"Region 01, Boston, Massachusetts",Open,,,,150,,
"Loomis, US",16-CA-286135,Houston,TX,11/12/2021,"Region 16, Fort Worth, Texas",Open,,,,150,,
"ConocoPhillips Company/ ConocoPhillips Alaska, Inc.",19-CA-286154,"Prudhoe Bay",AK,11/12/2021,"Region 19, Seattle, Washington",Open,,,,500,,
"Dixie Hardgoods Company",12-CA-286127,Miami,FL,11/12/2021,"Region 12, Tampa, Florida",Open,,,,8,,
"Fuelcell Energy, Inc.",01-RC-286116,Danbury,CT,11/12/2021,"Region 01, Boston, Massachusetts",Open,,,,8,,"All full time and regular part time operation technicians employed at the Danbury facility; but 
excluding all other employees, office clerical employees, mechanics, and guards, professional employees and supervisors defined in the Act."
"Loews Hotels, LLC",13-CA-286088,Rosemont,IL,11/12/2021,"Region 13, Chicago, Illinois",Open,,,,50,,
"Zepf Center",08-CA-286104,Toledo,OH,11/12/2021,"Region 08, Cleveland, Ohio",Open,,,,200,,
"Grove Bay Hospitality Group",01-CA-286131,Warwick,RI,11/12/2021,"Region 01, Boston, Massachusetts",Open,,,,25,,
"The New York Times",02-CA-286106,Manhattan,NY,11/12/2021,"Region 02, New York, New York",Open,,,,1000,,
"Mitchco International",14-CA-286094,Lawton,OK,11/12/2021,"Region 14, Saint Louis, Missouri",Open,,,,25,,
