OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
132779|102|All Other Accounts||||3610785|783072
131638|102|All Other Accounts|4716|30|11095|17945|780874
131620|102|All Other Accounts|1888|120|4283|8611|780847
131487|102|All Other Accounts|||||778015
131424|101|NONE ITEMIZED|0|0|0|0|777750
131425|102|All Other Accounts|0|0|0|113518|777750
132211|102|All Other Accounts|0|0|0|0|782825
131698|101|Dues and Fees Receivable|43667|204398|23610|288794|781984
131699|102|All Other Accounts|||||781984
131810|101|ACCOUNTS RECEIVABLE FROM PERSONIFY|45901|261476|10731|351409|782155
131811|102|All Other Accounts|||||782155
131835|101|MEMBERSHIP DUES AND FEES|19719|143679|9712|188129|782222
131836|102|All Other Accounts|||||782222
131466|101|Union Dues|0|0|0|61256|777906
131467|102|All Other Accounts|||||777906
132652|101|MEMBERSHIP DUES AND FEES|27826|152165|5986|212057|783036
132653|102|All Other Accounts|0|0|0|0|783036
131785|101|ACCOUNTS RECEIVABLE FROM PERSONIFY|60787|334199|18239|462836|782148
131786|102|All Other Accounts|||||782148
131457|101|ACCOUNTS RECEIVABLE (ESTIMATED & NOT AUDITED)|36813|217657|11828|289250|777847
131458|102|All Other Accounts|||||777847
131636|102|All Other Accounts|12524|44797|11948|78766|780869
132040|101|NONE|0|0|0|0|782537
132041|102|All Other Accounts|||||782537
132561|102|All Other Accounts|0|0|0|122796|782895
132579|101|UBC00805 - LOCAL 805 CAMARILLO CA|16238|85070|16182|135962|782930
132580|102|All Other Accounts|||||782930
132847|101|Rapides Federation of Teachers||||5136|783285
132843|101|Calcasieu Federation of Teachers||||25034|783285
132846|101|Livingston Federation of Teachers||||17556|783285
132845|101|Jefferson Federation of Teachers||||27175|783285
132844|101|East Baton Rouge Federation of Teachers||||20236|783285
132852|102|All Other Accounts||||52695|783285
132851|101|American Federation of Teachers||||8839|783285
132850|101|Tangipahoa Federation of Teachers||||9353|783285
132849|101|St. Tammany Federation of Teachers||||21874|783285
132848|101|Red River Federation of Teachers||||78031|783285
131632|102|All Other Accounts|2183|175|6100|8999|780863
132648|102|All Other Accounts|||||783020
