OID|DESCRIPTION|COST_BASIS|DEPRECIATION|BOOK_VALUE|VALUE|ASSET_TYPE|RPT_ID
397916|Automobiles and Other Vehicles|||||303|783072
397917|Office Furniture and Equipment|2653770|1263786|1389984|1389984|304|783072
397918|Other Fixed Assets|2833586|1068455|1765131|1765131|305|783072
395074|Automobiles and Other Vehicles|0|0|0|0|303|780847
395075|Office Furniture and Equipment|1655|55|1600|1600|304|780847
395076|Other Fixed Assets|0|0|0|0|305|780847
394520|Automobiles and Other Vehicles|||||303|778015
394521|Office Furniture and Equipment|||||304|778015
394522|Other Fixed Assets|||||305|778015
394377|NONE|0|0|0|0|301|777750
394378|NONE |0|0|0|0|302|777750
394379|Automobiles and Other Vehicles|145997|93439|52558|52558|303|777750
394380|Office Furniture and Equipment|32287|27577|4710|4710|304|777750
394381|Other Fixed Assets|22990|22990|0|0|305|777750
397244|Automobiles and Other Vehicles|||||303|782825
397245|Office Furniture and Equipment|55423|52992|2431|2431|304|782825
397246|Other Fixed Assets|||||305|782825
394342|814 Airport Blvd., Austin, TX|124387|0|124387|2710088|301|777722
394343|812 Airport Blvd., Austin, TX|1351947|0|1351947|1351947|301|777722
394344|814 Airport Blvd., Austin, TX|4253773|1146459|3107314|3263845|302|777722
394345|812 Airport Blvd., Austin, TX|1627516|34026|1593490|1627516|302|777722
394346|Automobiles and Other Vehicles|63326|35885|27441|27440|303|777722
394347|Office Furniture and Equipment|183434|150956|32478|32478|304|777722
394348|Other Fixed Assets|90950|31641|29609|29609|305|777722
394016|Automobiles and Other Vehicles|||||303|773958
394017|Office Furniture and Equipment|6287|3129|3158|3000|304|773958
394018|Other Fixed Assets|||||305|773958
395833|Automobiles and Other Vehicles|||||303|782222
395834|Office Furniture and Equipment|||||304|782222
395835|Other Fixed Assets|||||305|782222
394478|Automobiles and Other Vehicles|178834|102037|76798|76798|303|777906
394479|Office Furniture and Equipment|199616|161940|37675|37675|304|777906
394480|Other Fixed Assets|||||305|777906
397852|Automobiles and Other Vehicles|0|0|0|0|303|783036
397853|Office Furniture and Equipment|4736|2368|2368|2368|304|783036
397854|Other Fixed Assets|5742|0|5742|5742|305|783036
394451|Automobiles and Other Vehicles|||||303|777847
394452|Office Furniture and Equipment|6901|3270|3631|3631|304|777847
394453|Other Fixed Assets|||||305|777847
395128|Automobiles and Other Vehicles|||||303|780869
395129|Office Furniture and Equipment|1400|467|933|933|304|780869
395130|Other Fixed Assets|||||305|780869
396523|NONE|0|0|0|0|301|782537
396524|NONE|0|0|0|0|302|782537
396525|Automobiles and Other Vehicles|0|0|0|0|303|782537
396526|Office Furniture and Equipment|22331|21557|774|774|304|782537
396527|Other Fixed Assets|0|0|0|0|305|782537
397481|303 Erickson Blvd.|47003|0|47003|50000|301|782895
397482|303 Erickson Blvd.|838543|357266|481277|450000|302|782895
397483|Automobiles and Other Vehicles|50679|19427|31252|35000|303|782895
397484|Office Furniture and Equipment|89756|76085|13671|15000|304|782895
397485|Other Fixed Assets|||||305|782895
398154|9623 Brookline Ave, Baton Rouge, LA 70809|80050|0|80050|80050|301|783285
398155|9623 Brookline Ave, Baton Rouge, LA  70809|417583|196926|220657|220657|302|783285
398156|6765 Corporate Blvd, Unit 10111, BR, LA|125768|7794|117974|117974|302|783285
398157|9623 Brookline Ave Improvements|29301|3218|26083|26083|302|783285
398158|Automobiles and Other Vehicles|||||303|783285
398159|Office Furniture and Equipment|70096|68300|1796|1796|304|783285
398160|Other Fixed Assets|||||305|783285
395112|Automobiles and Other Vehicles|0|0|0|0|303|780863
395113|Office Furniture and Equipment|0|0|0|0|304|780863
395114|Other Fixed Assets|1078|347|731|731|305|780863
394335|Automobiles and Other Vehicles|28172|28172|0|5000|303|777695
394336|Office Furniture and Equipment|9555|9555|0|2000|304|777695
394337|Other Fixed Assets|||||305|777695
397815|421 N Sierra Way, San Bernardino, CA 92410|1555356|41293|1514063|1514063|302|783020
397812|433 N Sierra Way, San Bernardino, CA 92410|80386|0|80386|80386|301|783020
397816|Automobiles and Other Vehicles|292854|141297|151557|151557|303|783020
