OID|INV_TYPE|NAME|AMOUNT|RPT_ID
379374|703|Marketable Securities Total Cost||783072
379375|704|Marketable Securities Total BookValue||783072
379376|705|Other Investments Total Cost||783072
379377|706|Other Investments Total Book Value||783072
376432|703|Marketable Securities Total Cost|0|780874
376433|704|Marketable Securities Total BookValue|0|780874
376434|705|Other Investments Total Cost|0|780874
376435|706|Other Investments Total Book Value|0|780874
376342|703|Marketable Securities Total Cost|0|780847
376343|704|Marketable Securities Total BookValue|0|780847
376344|705|Other Investments Total Cost|0|780847
376345|706|Other Investments Total Book Value|0|780847
375771|703|Marketable Securities Total Cost||778015
375772|704|Marketable Securities Total BookValue||778015
375773|705|Other Investments Total Cost||778015
375774|706|Other Investments Total Book Value||778015
375602|703|Marketable Securities Total Cost|3617774|777750
375603|704|Marketable Securities Total BookValue|3617774|777750
375604|701|VANGUARD SHORT - TERM INVESTMENT GRADE|1817314|777750
375605|701|VANGUARD SHORT - TERM BOND INDEX|1800460|777750
375606|705|Other Investments Total Cost|0|777750
375607|706|Other Investments Total Book Value|0|777750
375608|702|NONE|0|777750
375569|703|Marketable Securities Total Cost|584778|777722
375570|704|Marketable Securities Total BookValue|584778|777722
375571|701|Vanguard Growth ETF|51594|777722
375572|701|Vanguard Value ETF Index|65777|777722
375573|701|Riverside Pub CA|31550|777722
375574|701|Montgomery County PA|35994|777722
375575|701|BNY Mellon Small/Mid Cap Growth|32786|777722
375576|701|Fidelity Low Price Stock Fund|42749|777722
375577|701|General Motors Corp Bond|30292|777722
375578|701|Signature BK NY|103604|777722
375579|705|Other Investments Total Cost||777722
375580|706|Other Investments Total Book Value||777722
377240|703|Marketable Securities Total Cost||782222
377241|704|Marketable Securities Total BookValue||782222
377242|705|Other Investments Total Cost||782222
377243|706|Other Investments Total Book Value||782222
375715|703|Marketable Securities Total Cost|2267151|777906
375716|704|Marketable Securities Total BookValue|2160367|777906
375717|701|FHLB 1.58% Due 11/06/29|149133|777906
375718|701|Apple 1.65% Due 5/11/30|173048|777906
375719|701|Oracle 2.95% Due 5/15/25|186386|777906
375720|701|Verizon Communications 2.2625% Due 8/15/21|212098|777906
375721|701|Wells Fargo BK N Step 12/6/27|153486|777906
375722|701|Wells Fargo 3% Due 10/23/26|215549|777906
375723|701|Loomis Sayles Bond Fund|125208|777906
375724|701|SIT US Govt Bond Fund|420072|777906
375725|701|Vanguard short Term Invest Grade|217403|777906
375726|705|Other Investments Total Cost||777906
375727|706|Other Investments Total Book Value||777906
379234|703|Marketable Securities Total Cost||783036
379235|704|Marketable Securities Total BookValue||783036
379236|705|Other Investments Total Cost||783036
379237|706|Other Investments Total Book Value||783036
376410|703|Marketable Securities Total Cost|0|780869
376411|704|Marketable Securities Total BookValue||780869
376412|705|Other Investments Total Cost|0|780869
376413|706|Other Investments Total Book Value||780869
377934|703|Marketable Securities Total Cost|0|782537
377935|704|Marketable Securities Total BookValue|0|782537
377936|705|Other Investments Total Cost|0|782537
377937|706|Other Investments Total Book Value|0|782537
378889|703|Marketable Securities Total Cost|294934|782895
378890|704|Marketable Securities Total BookValue|294934|782895
378891|701|Invesco Bulletshare (2021 Corporate Bonds)|72806|782895
378892|701|Invesco Bulletshare (2022 Corporate Bonds)|71812|782895
378893|701|Invesco Bulletshare (2023 Corporate Bonds)|74343|782895
378894|701|Invesco Bulletshare (2024 Corporate Bonds)|75973|782895
378895|705|Other Investments Total Cost||782895
378896|706|Other Investments Total Book Value||782895
