OID|DISBURSEMENT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
4326327|501|CTU share for GPS impact media coverage|2021-03-30|38750|2835720|783072
4326328|501|Ads & Comms Strategy/Registration Townhall Conf|2021-01-04|47000|2835723|783072
4326329|501|Ads & Comms Strategy/Registration Townhall Conf|2021-01-14|50000|2835723|783072
4326330|505|LOCAL 743 IBT NEGOTIATIONS|2021-02-19|6751|2835725|783072
4326331|505|LOCAL 743 IBT NEGOTIATIONS|2021-04-07|14096|2835725|783072
4326332|505|ANNUAL AUDIT|2021-05-14|31000|2835728|783072
4326333|505|ANNUAL AUDIT|2020-12-10|40000|2835728|783072
4326334|505|1901 CARROLL RENT|2020-07-01|119869|2835729|783072
4326335|505|1901 CARROLL RENT|2020-10-01|71641|2835729|783072
4326336|505|1901 CARROLL RENT|2020-11-02|107938|2835729|783072
4326337|505|1901 CARROLL RENT|2020-12-01|94496|2835729|783072
4326338|505|1901 CARROLL RENT|2021-01-04|42394|2835729|783072
4326339|505|1901 CARROLL RENT|2021-02-01|42394|2835729|783072
4326340|505|1901 CARROLL RENT|2021-03-01|120226|2835729|783072
4326341|505|1901 CARROLL RENT|2021-04-01|120226|2835729|783072
4326342|505|1901 CARROLL RENT|2021-04-30|119753|2835729|783072
4326343|505|1901 CARROLL RENT|2021-06-01|120226|2835729|783072
4326344|505|1901 CARROLL RENT|2021-06-10|119753|2835729|783072
4326345|505|1901 CARROLL RENT|2020-08-03|119869|2835729|783072
4326346|505|1901 CARROLL RENT|2020-09-01|119869|2835729|783072
4326347|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2020-07-23|6000|2835730|783072
4326348|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2020-10-15|5000|2835730|783072
4326349|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2020-11-12|5000|2835730|783072
4326350|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2020-12-01|5000|2835730|783072
4326351|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2021-01-04|5000|2835730|783072
4326352|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2021-02-01|5000|2835730|783072
4326353|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2021-03-01|5000|2835730|783072
4326354|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2021-04-01|5000|2835730|783072
4326355|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2021-04-30|5000|2835730|783072
4326356|505|CUT MAGAZINE, DAILY CLIPS FILE, WKLY BULLETIN|2021-06-01|5000|2835730|783072
4326357|505|LEGAL SERVICES|2020-07-20|6342|2835732|783072
4326358|505|LEGAL SERVICES|2020-09-22|7298|2835732|783072
4326359|505|LEGAL SERVICES|2020-11-04|6289|2835732|783072
4326360|505|LEGAL SERVICES|2021-02-23|6030|2835732|783072
4326361|505|LEGAL SERVICES|2021-06-01|10897|2835732|783072
4326362|505|LEGAL SERVICES|2021-06-28|8235|2835732|783072
4326363|505|POSTAGE|2021-05-18|14550|2835733|783072
4326364|505|OFFICE COMPUTER HARDWARE & EQUIPMENT|2020-10-19|25366|2835735|783072
4326365|505|OFFICE COMPUTER HARDWARE & EQUIPMENT|2021-04-30|11566|2835735|783072
4326366|505|MEDIA NEWSPAPER PRINTING|2021-03-04|5769|2835736|783072
4326367|505|MEDIA|2021-03-22|14220|2835737|783072
4326368|505|401K ADMINISTRATIVE SERVICES|2020-12-31|7500|2835740|783072
4326369|505|EQUIPMENT LEASING|2020-07-06|11757|2835742|783072
4326370|505|EQUIPMENT LEASING|2020-07-30|11614|2835742|783072
4326371|505|EQUIPMENT LEASING|2020-08-06|11757|2835742|783072
4326372|505|EQUIPMENT LEASING|2020-09-04|11757|2835742|783072
4326373|505|EQUIPMENT LEASING|2020-10-06|11757|2835742|783072
4326374|505|EQUIPMENT LEASING|2020-11-06|11757|2835742|783072
4326375|505|EQUIPMENT LEASING|2020-12-04|11757|2835742|783072
4326376|505|EQUIPMENT LEASING|2021-01-06|11757|2835742|783072
4326377|505|EQUIPMENT LEASING|2021-02-05|11757|2835742|783072
4326378|505|EQUIPMENT LEASING|2021-03-05|11757|2835742|783072
4326379|505|EQUIPMENT LEASING|2021-04-06|11757|2835742|783072
4326380|505|EQUIPMENT LEASING|2021-05-06|11757|2835742|783072
4326381|505|EQUIPMENT LEASING|2021-06-04|11756|2835742|783072
4326382|505|WORKERS COMP, LIABILITY & OTHER INSURANCE|2021-05-20|130604|2835743|783072
4326383|505|RENT|2020-07-02|91337|2835744|783072
