RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
754117|||0||||||||||3684|8662|0|0|0|||5705|0|||3012||||||||5148||1544
785409|||0||||||||||11228|550|0|0|0|||615|0|||0||||||||0||0
783261|||0||||||||||0|0|0|0|0|||0|0|||||||||||0||0
783072|6035935|761365|27000|950845|5801429|2453325|0|64176|0||0|0|15900563|732826|25043|2053275|0|0|0||4657256|2419037|34288||2422209|||19787|2000||93395|||
756415|||7600||||||||||1000|13516|0|0|0|||44540|0|||||||||||2502||49404
756328|||0||||||||||0|904|0|0|0|||2106|0|||296||||||||1513||4200
787028|||11967||||||||||807|0|300|0|0|||0|0|||||||||||929||800
768509|||120||||||||||0|0|0|0|0|||2293|0|||0||||||||814||0
768506|||0||||||||||0|3385|0|0|0|||0|650|||0||||||||1261||1288
770791|||0||||||||||0|0|0|0|0|||0|0|||0||||||||4209||1609
780874|3431|0|5694|15691|49247|2859|4563|7327|0||5274|0|270372|40396|||0||0||884|2859||2786|73||3431||5694|9436|5108|||
777768|||0||||||||||0|9371|0|2301|0|||1589|0|||1589||||||||2064||1854
780847|15887|0|500|51083|33136|20556|0|0|0||4116|0|166406|25122|1655|28750|0||0||32913|20566|-10|0|20556||450|0|500|10443|5345|||
778015|49554|17118|7278|46567|77643|24375|0|14082|0||14316|0|233948|29279|0|73091|0|0|0||111303|24375|||||16836|14975|4550|11205|10010|||
776419|||0||||||||||0|189|0|100|0|||465|0|||0||||||||1406||12975
777750|454794|1227362|17500|41873|167107|279345|0|0|0||57475|0|0|7126|1048203|515506|0|0|2281888||514593|278172|1173|2874|276471||0|9733|0|2707|23532|||
784402|||3889||||||||||0|1829|0|0|0|||1299|0|||0||||||||1122||216
782825|292392|0|780|146674|4864|73300|19750|0|0||22290|0|422845|||96055|0|0|0||224035|73300|||73300||18657|0|780|28050|4864|||
777722|96491|104983|120650|1169396|123112|115161|192000|7450|0||219814|60|93209|179433|1747322|305445|||0||246395|115161||49314|65847||302|62109|50650|141411|13428|||
782914|||0||||||||||11690|14450|0|0|0|||0|0|||||||||||11887||1475
773958|0|0|3797|52012|80183|14663|0|0|0||7440|0|0|30146|1099|2100|||0||37321|14663||8492|6171||0|0|3797|10700|9284|||
777677|||800||||||||||0|8443|0|0|0|||0|0|||0||||||||250||0
781984|0|0|0|231995|95884|19200|0|29591|0||9908|0|855281|64449||26455|||0||101214|18338|862||19200|||||85586|31435|||
782155|66728|0|7504|76697|98795|19981|0|60819|0||15337|0|679836|65165||33619|||8338||73556|19981||5494|14487||16319|0|2504|5098|9738|||
782222|69392|0|7930|350249|100936|31035|0|45439|0||17090|0|846717|57877|0|43539|0|0|0||144741|31035||3395|27640||5795|0|2358|38471|11699|||
777906|968866|58362|37679|383435|122110|201756|0|2162|0||68688|0|672453|412028|1471228|436918|0|0|0||454343|203096|-1340||||170164|0|10609|58370|2412|||
783036|40500|0|13028|104761|89989|31938|0|63881|0||13426|0|740483|52968|5742|32857|0||0||61886|32548|-610|4603|27335|0|12780|0|13028|15387|3389|||
782148|123594|0|394|89959|119343|12873|0|132583|0||5332|0|973301|60728||31794|||16924||52066|12873|||12873||23361|0|394|23135|46768|||
777847|118007|1487|4037|90275|63427|19031|0|0|0||7486|0|678331|63456||33375|||0||66042|19031|||19031||53947|0|2550|10840|9583|||
773450|||500||||||||||0|5183|0|0|0|||0|0|||0||||||||441||0
780869|46734|0|2668|111989|114240|28035|0|41076|0||6667|0|630732|59868|0|31289|0||15828||85933|27981|54|0|28035|0|4679|0|2668|11464|16052|||
782537|47809|332|0|0|57767|10651|0|0|0||0|0|0|59111|0|0|0|0|0||1293|8446|2205|10545|107||3298|27|||22113|||
782895|102741|11220|1205|105033|107339|39211|12148|9755|0||10461|0|217927|60166|139486|97886|1939|0|190791||29829|37932|1279|32165|7046||24|11220|1205|40166|15008|||
778111|||0||||||||||15252|0|0|0|0|||0|0|||0||||||||0||0
773849|||0||||||||||0|2846|0|0|0|||0|0|||0||||||||357||3050
756287|||0||||||||||0|0|0|0|0|||0|0|||0||||||||767||259
782930|38411|0|0|90697|69459|22777|1033|13986|0||5084|0|232504|49687||29389|||0||41756|21652|1125|0|22777||0|||27636|16545|||
782547|||0||||||||||14487|999|0|0|0|||70|0|||0||||||||9807||6318
783285|429592|122564|72274|385141|127176|310037|0|0|0||61832|0|8715|125169|600005|450445|0||0||715459|310297|-260||||13960|2936|43342|75631|6102|||
780863|2500|0|85|10058|31817|2007|0|0|0||2741|0|151817|26859|0||0||0||753|2007||1945|62|0|2500|0|85|4649|2198|||
785357|||11250||||||||||1204|24089|0|0|0|||98861|3714|||6110||||||||5887||0
785210|||0||||||||||0|0|0|0|0|||7228|0|||||||||||0||0
773970|||5048||||||||||0|29768|0|0|0|||13540|0|||||||||||1374||25479
785174|||0||||||||||0|0|0|0|0|||0|0|||0||||||||0||12510
777695|0|0|0|13453|0|0|0|0|0||0|0|1920|||3786|||0|||0||||||||13453||||
783020|2730299|84706|191723|1353802|672506|978760|2094|6578|0||234708|0|1878890|365701|624268|1428177|0|523125|51838||1927235|978760||161219|805842|0|51802|1229|68488|31186|10973|||
783247|||4050||||||||||0|0|0|0|0|||6619|0|||0||||||||10393||5244
776425|||0||||||||||0|0|0|0|0|||0|0|||0||||||||0||0
768545|||0||||||||||0|0|0|0|0|||0|19502|||0||||||||511||475
782794|||0||||||||||0|0|0|0|0|||0|254|||0||||||||1758||371
768455|||0||||||||||0|1953|0|0|0|||0|1568|||0||||||||648||371
783110|||0||||||||||76275|65308|0|0|0|||30040|0|||||||||||0||0
780730|||0||||||||||100334|7375|0|0|0|||9842|0|||||||||||7963||22518
785415|371648|0|1500|82346|198176|91946|0|0|140298||35202|0|0|149139|13538|42703|||0||143572|91946||64878|27068||55434||1500|18321|44822|||
777298|||0||||||||||1058|4932|0|6221|0|||66373|2026|||408||||||||1112||2643
777558|||0||||||||||0|12290|0|0|0|||0|0|||||||||||4265||2000
782385|||0||||||||||0|0|0|0|0|||0|0|||0||||||||1441||0
780696|||0||||||||||13804|905|0|0|0|||10000|725|||0||||||||8||0
779380|114946|55870|9250|109591|191743|60328|0|0|0||43270|0|133185||71654|199209|0|0|0||215761|60328||0|60328|0|0|12699|250|67607|4448|||
780860|0|3000|53391|0|203494|16291|0|0|0||7768|0|172343|62359|26743|3000|0|0|0||9313|15597|694|14600|1691|119117|0|3000|21391|0|18244|||
780609|||109000||||||||||0|0|0|0|0|||43415|0|||0||||||||364||5200
783043|||911||||||||||46299|10449|0|0|0|||3217|10473|||0||||||||9919||535
779311|||0||||||||||40395|36733|0|0|0|||5272|2685|||0||||||||5942||0
756232|458210|0|0|546802|124576|255925|317615|0|0||161231|0|0|482353|129525|365765|0||0||113972|255925||213226|42699|0|2616|0|0|94478|12496|||
782647|269377|0|0|138021|63968|64905|0|3257|0||25767|0|283692|250703||9870|||0||78875|64905||0|15705||49533|0|0|13492|3806|||
786985|||0||||||||||0|0|0|0|0|||35900|0|||0||||||||618||965
785622|||0||||||||||50047|25188|0|0|0|||10350|2392|||0||||||||5401||15087
780710|0|0|4290|151538|509299|126404|391373|0|14640||38232|0|228787|108760|1750012|361720||3746|21916||372583|126404|||||||4290|95711|19141|||
783018|44504|0|0|253964|253878|37238|0|72593|48277||16528|0|0|60163|||||277894||104609|37238||11008|26230||11934|||54987|38508|||
765209|||10000||||||||||0|27062|0|0|0|||21137|0|||12182||||||||12051||27545
779334|||1000||||||||||35428|4220|0|0|0|||48|0|||||||||||230||100
785305|||450||||||||||274|15659|0|0|0|||10437|100|||0||||||||8037||1550
784490|||200||||||||||4146|3100|0|0|0|||414|0|||0||||||||55||0
754470|||0||||||||||144403|0|0|1769|0|||1977|0|||0||||||||288||15553
782450|||1650||||||||||41021|26379|0|0|0|||17649|0|||||||||||3601||11160
782565|||0||||||||||0|47072|0|0|0|||62401|0|||995||||||||32237||0
782752|6168861|405790|55773|5189073|1846953|4443109|0|13819|4702||1108608|0|4503224|646948|23514|6191056|137|0|2103659||5989072|4444406|-1297|32188|4410921|2243364|80339|19866|0|143118|16584|||
782631|114904|0|0|41691|14725|1163|0|0|0||840|0|70661|124158|1800||||0||9696|1163||0|1163|0|13508|0|0|8089|0|||
782060|||1000||||||||||18400|243|0|0|0|||0|0|||||||||||585||6100
756452|||0||||||||||0|98449|0|0|0|||0|13781|||||||||||63304||2250
755020|||0||||||||||2470|41310|0|25961|0|||21083|1167|||5288||||||||5348||1800
739254|||0||||||||||367|870|0|0|0|||19563|0|||0||||||||1183||465
766123|109797|3933|4650|156154|77389|72681|0|0|0||29639|0|35008|75859|25319|52186|0|0|0||101941|68037|4644|40854|31827|0|7124|0|4650|21275|12014|||
768398|||0||||||||||0|0|0|0|0|||0|18|||0||||||||200||371
778054|338914|14808|10815|276761|132020|140771|0|0|0||63650|0|276528|367679|32222|71586|||0||100843|148589|-7818|115990|24781||709||10815|24162|3741|||
783122|93059|272|12918|116112|29329|43593|0|0|0||19588|0|56|78419|193|15952|0||0||46891|43889|-296|35630|7963||1070|0|12918|22676|284|||
782224|865203|5245|36145|225209|76893|404952|0|0|0||84817|0|29550|451413|0|30036|0|0|8606||151414|404864|88|272253|132699||1406||7899|38649||||
768396|||0||||||||||0|0|0|975|0|||0|0|||||||||||0||0
776580|53622|5682|31032|78343|87334|49559|0|0|0||15261|0|402808|31441|0|93194|0|0|0||171577|49559|||||1827|2000|19800|7952|10325|||
756239|||0||||||||||0|0|0|0|0|||3100|0|||0||||||||6080||0
755992|||0||||||||||0|325|0|0|0|||2073|0|||0||||||||112||0
755838|||3000||||||||||2064|41549|0|0|0|||5184|9665|||5604||||||||10525||3390
782700|||500||||||||||7|12000|2693|0|0|||17727|20655|||0||||||||6665||0
770873|||8929||||||||||0|700|0|0|0|||4903|0|||0||||||||537||0
767136|||0||||||||||0|0|0|0|0|||0|0|||0||||||||0||4660
768463|||4000||||||||||12039|14469|0|0|0|||7614|0|||2971||||||||5024||0
773400|||0||||||||||0|1376|0|0|0|||0|0|||||||||||360||230
766238|||100||||||||||0|5058|0|0|0|||5936|6168|||1545||||||||410||2050
777613|||2500||||||||||1265|5541|0|0|0|||0|0|||459||||||||5353||3168
783229|||8000||||||||||0|26120|0|0|0|||10709|0|||3871||||||||12382||0
768524|||2000||||||||||0|10205|0|0|0|||0|787|||0||||||||2037||0
783156|||0||||||||||0|6350|0|0|0|||0|0|||0||||||||14983||0
766126|||1850||||||||||50|4641|0|0|0|||313|0|||||||||||44645||0
777819|||100||||||||||0|6850|0|0|0|||3293|0|||0||||||||100||0
770837|||0||||||||||0|5188|0|0|0|||0|0|||||||||||2739||0
756074|||0||||||||||0|1108|0|0|0|||1400|0|||92||||||||5757||0
773490|||1000||||||||||50|9769|0|0|0|||874|0|||2247||||||||6124||0
766170|||0||||||||||50|3977|0|0|0|||5068|0|||1407||||||||1825||0
755114|||1650||||||||||5|1700|0|0|0|||0|0|||0||||||||90||0
754425|||0||||||||||2426|5193|0|0|0|||5392|0|||0||||||||446||131
754956|||8000||||||||||11213|6685|0|0|0|||782|0|||0||||||||647||0
766212|||2466||||||||||0|118817|0|0|0|||0|3167|||0||||||||33294||2856
783170|||0||||||||||0|19217|2037|0|0|||8107|14258|||2366||||||||35427||414
777940|||0||||||||||0|0|0|0|0|||668|0|||0||||||||281||0
768415|||581||||||||||0|10526|0|0|0|||3951|0|||574||||||||231||0
756470|||5805||||||||||268|4760|0|0|0|||0|0|||0||||||||673||278
777864|||1000||||||||||53|46540|0|1425|0|||21392|0|||11632||||||||36774||1450
778058|||0||||||||||94046|0|0|0|0|||16802|81882|||0||||||||2363||3900
755880|||2000||||||||||0|6003|0|0|0|||0|0|||0||||||||594||100
766162|||0||||||||||50|31953|0|0|0|||4224|0|||||||||||2163||2550
782996|||0||||||||||0|27325|0|0|0|||114144|0|||||||||||7257||3852
766015|||5146||||||||||8299|2202|0|1116|0|||0|0|||398||||||||4370||0
782686|722|0|0|12269|604|0|0|0|0||0|0|54892||||||23476|||0|||||722|0|0|6769|604|||
773418|||0||||||||||54680|1166|0|0|0|||1330|1258|||0||||||||2494||0
785410|||128||||||||||9633|0|0|0|0|||89|0|||0||||||||255||0
782447|||600||||||||||0|0|0|0|0|||439|0|||||||||||730||0
785503|||600||||||||||0|18351|0|0|0|||1645|0|||0||||||||469||650
757302|||2200||||||||||0|1375|0|0|0|||3711|0|||0||||||||0||0
777371|||2407||||||||||0|10156|0|0|0|||2899|714|||2360||||||||13659||0
755779|||3050||||||||||0|19287|0|200|0|||0|3816|||0||||||||17388||575
783143|||1825||||||||||0|2623|0|0|0|||0|5652|||||||||||1501||0
773832|||473||||||||||0|3242|0|0|0|||0|0|||0||||||||6199||1400
779351|||950||||||||||0|4090|0|0|0|||1720|0|||0||||||||9917||0
782428|||650||||||||||38|45205|1710|11102|0|||280|4106|||||||||||51311||0
756424|||4169||||||||||0|0|0|0|0|||0|0|||0||||||||2175||0
766273|||0||||||||||6089|15276|0|0|0|||3053|0|||||||||||3307||0
783146|||0||||||||||1200|0|0|0|0|||0|0|||0||||||||5508||0
755383|||0||||||||||0|14521|0|0|0|||0|0|||1207||||||||4043||0
766211|||0||||||||||0|5631|0|0|0|||4495|601|||||||||||951||0
773515|||0||||||||||50|16552|0|0|0|||4938|0|||0||||||||2754||63774
756490|||600||||||||||7136|23118|0|0|0|||19675|3780|||9911||||||||37215||0
769026|||0||||||||||0|36047|0|0|0|||0|0|||0||||||||27020||0
746535|||67||||||||||3304|18484|0|0|0|||1033|987|||2281||||||||11880||0
757312|||0||||||||||0|30861|0|3340|0|||0|787|||0||||||||11979||3625
782881|1475071|531757|380223|1524407|1878782|839982|0|0|41733||423299|0|0|717735|429629|231749|0|0|1036270||2112103|820683|19299||||50049|3646||111207|83379|||
756181|87093|0|0|20114|17404|40065|94543|0|0||22721|0|0|78181|280|47546|||0||6095|40065||39141|924||0|0|0|270|0|||
782486|0|0|0|0|99315|10014|0|0|0||0|0|12764|48224|||||0|||8705|1309|||||||0|51091|||
777841|||500||||||||||0|29044|0|0|0|||12286|4950|||6481||||||||17607||2100
782317|||237||||||||||6822|28489|234|0|0|||29204|0|||0||||||||5994||3000
785344|||71||||||||||0|17767|0|0|0|||0|0|||||||||||8236||5569
782227|||0||||||||||0|32195|0|0|0|||13877|0|||0||||||||3180||1595
782391|||0||||||||||0|4714|0|0|0|||2237|2309|||0||||||||23754||1675
783092|6425|817|0|1459|2181|0|0|0|0||0|0|0||||||0|||0|||||6425|817|0|1459|2181|||
777254|||0||||||||||0|5797|0|0|0|||10747|2318|||0||||||||4994||5780
783063|||0||||||||||0|28239|0|0|0|||61462|0|||0||||||||24366||0
782390|15953|8356|0|0|56114|6516|682|0|0||3374|0|0|38813|0||0|0|15411||8788|5835|681|||0|||||12072|||
782414|23414|15310|16457|0|118806|0|0|0|21||26406|0|0|112315||358|0||1496||482|0||||||||||||
782751|||1000||||||||||0|13614|0|0|0|||10019|0|||3146||||||||20927||2719
776555|||50||||||||||0|450|0|0|0|||2249|0|||0||||||||3755||300
780547|83683|1710|150|0|72006|10282|0|115|0||6832|0|10409|80446||6596|||105872||11002|15441|-5159||||1000||150||17949|||
781998|34931|1288|2535|0|70455|8076|0|0|0||5131|0|39042|62391|||||0||6458|8076|||||15826|0|2535|0|9008|||
782406|11450|5743|0|0|350801|25486|0|0|0||0|0|0|72398|0|45377|0|0|0||1100|11815|13671|40123|50|0|||||135828|||
782477|||0||||||||||600|0|0|0|0|||500|549|||0||||||||2712||0
780681|||0||||||||||0|27936|0|0|0|||15326|0|||0||||||||5075||0
777733|||0||||||||||0|3618|0|0|0|||0|0|||0||||||||5119||2500
782728|||0||||||||||5653|37014|0|0|0|||39523|5294|||0||||||||8435||1295
780827|2074|311|0|0|193541|8236|0|0|0||8236|0|0|112625||23084||0|16062||6000|8236|||||0|0|0|0|8204|||
777779|||366||||||||||68258|0|0|0|0|||23239|24700|||0||||||||12810||4500
782615|25567|0|0|10785|250453|70779|0|0|0||0|0|14090|150778||31878|||0||10712|70195|584||||10|||10785|25485|||
782324|47834|4048|0|0|196659|33016|0|0|0||0|0|80121|143499|0|0|0|0|0||1589|31740|1276|32722|294||||||56690|||
782088|||0||||||||||0|30343|0|0|0|||5121|7856|||0||||||||8752||2879
778067|||0||||||||||0|10846|909|0|0|||5048|0|||2516||||||||6595||2866
777994|||0||||||||||0|35471|2081|0|0|||18703|20843|||3228||||||||12636||1700
780720|||0||||||||||0|34186|907|0|0|||10900|2323|||0||||||||7168||169
782228|268400|1907|5254|34103|189012|38535|0|0|0||13346|0|43856|131481||21590|||0||16718|43078|-4543|35414|3121||3542|0|5254|28203|8021|||
783294|||0||||||||||0|0|0|0|0|||6716|0|||||||||||0||0
780679|||1500||||||||||0|7238|0|0|0|||1983|941|||1455||||||||4804||1700
773494|52864|650|0|0|49888|0|0|0|0||0|0|0|69008||||0|0||2039|0|||||||||14144|||
776437|40139|0|0|0|77772|0|0|0|0||0|0|0|44221|0|0|0|0|0||3933|0||||||||||||
782415|48084|3412|0|22713|144097|17992|0|0|0||8462|0|49226|112336||3946|||0||25390|16237|1755|17184|808||5107|0|0|2712|14474|||
782598|23891|0|0|0|121176|8721|0|0|0||5389|0|15757|55107|||||0|||9960|-1239||||20967||||43038|||
782932|||0||||||||||6748|44360|37|0|0|||26142|1200|||8567||||||||9347||0
780830|21455|1558|0|5005|79608|23049|0|0|0||5843|0|0|49675|1432|4797|0|0|1940||199|23049||22973|76|0|6691|0|0|5005|8521|||
778028|0|0|100|0|153998|24722|0|0|0||7142|0|0|41358|||||0||22853|23585|1137|16867|7855||||100|0|27808|||
777993|25613|4241|5000|0|131401|31102|0|0|0||7085|0|15707|61873|||||0||9726|31102||28751|1716|||2525|||42222|||
780601|||0||||||||||6598|23425|0|0|0|||21788|0|||||||||||2328||2050
782736|||0||||||||||0|70470|0|0|0|||13589|3357|||||||||||29261||0
782225|||0||||||||||0|9232|1405|0|0|||3915|0|||1144||||||||3562||700
777744|80409|17592|2870|15675|381411|52922|0|0|0||13410|0|39406|103104|0|0|0|0|0||33233|52922||44248|8674||||2870|15675|17154|||
761971|183143|0|650|155268|172109|500|0|0|0||0|0|0|355252|0|3351|0|0|0||2737|0|500||||||650|75876||||
780834|16839|646|0|0|159450|29889|0|0|0||7983|0|0|78546|1326|17504|0|0|0||6754|30146|-257|28633|1256|0|1941|8|0|0|35217|||
779356|13232|4968|3000|13328|108753|12392|0|0|0||0|0|14230|62213|||||0|||11293|1099||||1347|0|3000|2140|44195|||
782359|||25||||||||||1860|23137|0|0|0|||2289|270|||0||||||||679||4732
782438|||0||||||||||0|18358|0|0|0|||3967|0|||1344||||||||8288||1700
756053|55207|37183|6500|16638|11271|25155|0|0|0||4775|0|86457|50262|0||0|0|0||5777|23853|1302||||27186|16455|6500|6618|3978|||
779331|||0||||||||||0|6085|0|0|0|||0|0|||0||||||||2628||0
777418|||0||||||||||6887|50977|0|0|0|||39625|0|||0||||||||3985||3680
768502|||400||||||||||0|2593|0|0|0|||2300|0|||0||||||||1912||0
754202|||1757||||||||||7|67330|0|0|0|||26127|24297|||14403||||||||21938||2510
778134|||134||||||||||336|5572|0|0|0|||202|0|||491||||||||4675||210
780772|47177|1789|0|71459|33802|16222|0|0|87||0|0|5202|43472|0|0|0|0|0||23075|16222||10596|5625||0|0|0|49715|0|||
777566|||0||||||||||0|2094|0|0|0|||15595|0|||||||||||397||0
780707|||2040||||||||||2517|10052|2438|0|0|||5352|1411|||4463||||||||16656||0
754493|55441|0|0|38899|2166|5630|0|0|0||1586|0|24624|20954|||||0|||4711|919|5630|||3794|0|0|11838|830|||
783191|||5170||||||||||9545|19020|0|0|0|||9377|25152|||0||||||||3862||2462
751749|||0||||||||||17440|0|0|0|0|||0|0|||||||||||4265||720
782637|||0||||||||||103786|0|0|0|0|||14108|0|||0||||||||7331||12432
780774|||1100||||||||||77345|0|0|0|0|||16430|33103|||0||||||||6168||3175
773529|245198|6660|2904|53677|70927|0|0|0|0||0|0|0|177125|0|0|0|0|0||83718|0|||||66585|6660|2904|10637||||
754723|||0||||||||||5114|0|0|1143|0|||0|0|||||||||||92||0
756413|||0||||||||||35889|2321|9416|0|0|||2443|0|||0||||||||18247||4925
784393|73446|0|0|144629|13761|0|0|0|0||0|0|0|64380||15000|||0||17226|0||||||||125604||||
776499|||0||||||||||37223|21376|0|0|0|||4097|0|||0||||||||3005||35
777849|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0|0|0|||0||||||||||||
782364|||3050||||||||||5542|5700|4165|0|318|||271|0|||||||||||43798||0
783187|0|0|0|0|29489|0|0|0|0||0|0|0||0|4029|0|0|0|||0||||0|0|0|0|0|0|||
753629|||2800||||||||||0|4236|0|0|0|||0|947|||0||||||||2266||0
776507|0|0|0|3583|752|0|0|0|0||0|0|12051||0|0|0|0|0|||0|||||0||0|3583|752|||
784434|||7736||||||||||81483|22828|1943|41597|0|||30766|0|||13972||||||||19103||0
755063|||0||||||||||2595|0|1200|0|0|||80|0|||||||||||1913||0
777678|||0||||||||||48307|2445|0|0|0|||1279|0|||0||||||||142||2100
770824|||1600||||||||||2004|0|0|0|0|||25201|0|||0||||||||2678||0
784452|||10260||||||||||0|442|0|0|0|||762|0|||0||||||||9019||0
755229|||0||||||||||0|0|0|0|0|||10221|0|||||||||||365||0
