RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
754117|0|0|0|0|0|0|0|0|
785409|0|0|0|0|0|0|0|0|
783261|144|50|0|0|0|0|2595|0|
783072|2086292|1896031|4708369|4708369|0|0|4002326|4040861|
756415|0|0|0|0|0|0|0|0|
756328|0|0|0|0|0|0|1710|0|
787028|0|0|0|0|0|0|0|0|
768509|0|0|0|0|0|0|0|0|
768506|0|0|0|0|0|0|0|0|
770791|0|0|0|0|0|0|0|0|
780874||0|0||0|0|||
777768|0|0|0|0|0|0|0|0|
780847|14286|0|||0|0|2014|1001|
778015|0|0|0|0|0|0|0|0|
776419|0|0|0|0|0|0|0|0|
777750|0|0|0|212463|0|0|163620|13227|
784402|0|0|0|0|0|0|0|0|
782825|8521|36100|0|82040|0|0|6000|0|
777722|||||2294271|4487400|562076|550285|
782914|0|0|0|18033|0|0|561|568|
773958|||||0|0|||
777677|0|0|0|0|0|0|0|0|
781984|0||0||0|0|2692|2331|
782155|56075|58759|||0|0|544|486|
782222|0|0|0|0|0|0|0|0|
777906|39071|38485|0|0|0|0|||
783036|62252|59575|||0|0|1470||
782148|77696|84944|||0|0||3232|
777847|57211|60324|||0|0|2935|4497|
773450|0|0|0|0|0|0|0|0|
780869|0|0|||0|0|811|865|
782537|0|0|0|0|0|0|1783|3987|
782895||49017||41023|0|0|1044|3436|
778111|0|0|0|0|0|0|0|0|
773849|7360|0|0|0|0|0|0|0|
756287|0|0|0|0|0|0|0|0|
782930|||||0|0|15481|1125|
782547|2862|3129|0|0|0|0|0|0|
783285|14136|14865|||0|0|534160|434700|
780863|0|0|0||0|0|0||
785357|54|0|0|0|0|0|2349|0|
785210|0|0|0|0|0|0|0|0|
773970|0|0|0|0|0|0|0|0|
785174|0|0|0|0|0|0|0|0|
777695|0||||0|0||96014|
783020|0||1684783|1161658|0|0|0||
783247|0|0|0|0|0|0|0|0|
776425|0|0|0|0|0|0|0|0|
768545|0|0|0|6509|0|0|0|0|
782794|0|0|0|0|0|0|0|0|
768455|0|0|0|0|0|0|0|0|
783110|0|0|0|0|0|0|0|0|
780730|0|0|0|0|0|0|0|0|
785415|21234|52703|||0|0|25025|20658|
777298|0|0|0|0|0|0|215|0|
777558|0|0|0|0|0|0|0|0|
782385|0|0|0|0|0|0|0|0|
780696|0|0|0|0|0|0|0|0|
779380|251836|262435|0|0|0|0|0|0|
780860|0|0|0|0|0|0|3928|4622|
780609|0|0|0|0|0|0|0|0|
783043|0|0|0|0|0|0|0|0|
779311|0|0|0|0|0|0|0|0|
756232||0|||0|0|||
782647|90381|70718|||0|0|||
786985|0|0|0|0|0|0|0|0|
785622|0|0|0|0|0|0|0|0|
780710|30997|28668|149900|150465|0|0|4929|1793|
783018|||0||0|0|106846|215210|
765209|0|150|0|0|0|0|0|0|
779334|0|0|0|0|0|0|0|0|
785305|816|896|0|0|0|0|0|0|
784490|0|0|0|0|0|0|0|0|
754470|0|0|0|0|0|0|0|0|
782450|0|0|0|0|0|0|995|5494|
782565|0|0|0|0|0|0|0|995|
782752|559515|2922333|0|0|0|0|75297957|71989808|
782631|18952|17910|||0|0|||
782060|0|0|0|0|0|0|0|0|
756452|2411|2941|0|0|0|0|0|0|
755020|0|0|0|0|0|0|1778|1779|
739254|0|0|0|0|0|0|0|0|
766123|0|0|0|0|0|0|4246|8890|
768398|0|0|0|0|0|0|0|0|
778054|915|8090|||0|0|||
783122|0|0|0||0|0|2518|2221|
782224|0|0|0|0|0|0|0|48|
768396|0|0|0|0|0|0|0|0|
776580|0|0|0|0|0|0|0|0|
756239|0|0|0|0|0|0|0|0|
755992|0|0|0|0|0|0|0|0|
755838|0|0|0|0|0|0|0|0|
782700|0|0|0|0|0|0|1547|1431|
770873|0|0|0|0|0|0|0|0|
767136|0|0|0|0|0|0|0|0|
768463|0|0|0|0|0|0|0|0|
773400|0|0|0|0|0|0|0|0|
766238|0|0|0|0|0|0|0|0|
777613|3000|0|0|0|0|0|0|0|
783229|0|0|0|0|0|0|0|0|
768524|0|0|0|0|0|0|0|0|
783156|0|0|0|0|0|0|0|0|
766126|0|0|0|0|0|0|0|0|
