OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
304838|2101|Active|26453|T|783072
304840|2102|Agency Fee Payers|9|F|783072
304839|2101|Retiree|1792|F|783072
302215|2101|Apprentice|231|T|780874
302218|2101|Early Retired|35|T|780874
302217|2101|Pre-apprentice|20|T|780874
302216|2101|Honorary|102|T|780874
302214|2101|Retired|64|T|780874
302213|2101|Journeyman|1383|T|780874
302154|2101|Journeyman|782|T|780847
302158|2101|Disabled|32|T|780847
302157|2101|Honorary|74|T|780847
302156|2101|Retired|63|T|780847
302155|2101|Apprentice|179|T|780847
301638|2101|Members - Regular|1214|T|778015
301640|2101|Members - Retired|285|T|778015
301639|2101|Members - Apprentice|158|T|778015
301523|2101|LOCAL UNIONS|19|T|777750
301524|2102|Agency Fee Payers|0|F|777750
304201|2101|JOURNEYMEN|1652|T|782825
304203|2102|Agency Fee Payers|0|F|782825
304202|2101|PENSIONERS|126|F|782825
301493|2101|Journeyman|1048|T|777722
301495|2101|Retirees|162|T|777722
301494|2101|Apprentices|332|F|777722
301229|2101|REGULAR MEMBERS|827|T|773958
301230|2102|Agency Fee Payers|9|F|773958
302439|2101|Early Retired|138|T|781984
302438|2101|Journeymen & Apprentices|4917|T|781984
302443|2102|Agency Fee Payers|0|F|781984
302442|2101|Honorary|92|T|781984
302441|2101|Disabled|30|T|781984
302440|2101|Retired|104|T|781984
302851|2101|JOURNEYMEN|3060|T|782155
302856|2101|ARREARS|287|F|782155
302855|2101|HONORARY|141|T|782155
302854|2101|DISABLED|19|T|782155
302853|2101|RETIRED|252|T|782155
302852|2101|APPRENTICE|964|T|782155
302968|2101|ACTIVE MEMBERS|3748|T|782222
302974|2102|Agency Fee Payers|13|F|782222
302973|2101|HONARARY MEMBERS|71|T|782222
302972|2101|RETIRED|235|T|782222
302971|2101|IN SERVICE|2|T|782222
302970|2101|50 DISABLED MEMBERS|18|T|782222
302969|2101|APPRENTICES|1517|T|782222
301614|2101|Building Trades|935|T|777906
301618|2102|Agency Fee Payers|0|F|777906
301617|2101|Members on Withdrawal|21|F|777906
301616|2101|Reitred Disabled Members|242|T|777906
301615|2101|Production Workers|226|T|777906
304670|2101|JOURNEYMEN|3361|T|783036
304679|2102|Agency Fee Payers|1|F|783036
304678|2101|ARREARS|320|F|783036
304677|2101|IN SERVICE|3|T|783036
304676|2101|HONORARY|63|T|783036
304675|2101|50 DISABLED|9|T|783036
304674|2101|EARLY RETIRED|112|T|783036
304673|2101|RETIRED|68|T|783036
304672|2101|PRE APPRENTICE|2|T|783036
304671|2101|APPRENTICE|933|T|783036
302823|2101|JOURNEYMEN|4084|T|782148
302829|2102|Agency Fee Payers|44|F|782148
302828|2101|ARREARS|570|F|782148
302827|2101|HONORARY|155|T|782148
302826|2101|DISABLED|21|T|782148
302825|2101|RETIRED|203|T|782148
302824|2101|APPRENTICE|1509|T|782148
301581|2101|JOURNEYMEN|3091|T|777847
301587|2102|Agency Fee Payers|17|F|777847
301586|2101|ARREARS|333|F|777847
301585|2101|HONORARY|123|T|777847
301584|2101|DISABLED|60|T|777847
301583|2101|RETIRED|213|T|777847
301582|2101|APPRENTICE|776|T|777847
302206|2101|Apprentice|1035|T|780869
302205|2101|Journeyman|2645|T|780869
302208|2101|Retired|172|T|780869
302207|2101|Honorary|88|T|780869
303666|2101|REGULAR RURAL CARRIER|1709|T|782537
303672|2101|RETIRED ASSOCIATES|0|F|782537
303671|2101|ASSOCIATE MEMBERS|5|F|782537
303670|2101|RETIRED CARRIERS|394|T|782537
303669|2101|ARC'S|67|T|782537
303668|2101|PTF|6|T|782537
303667|2101|RELIEF CARRIERS|1230|T|782537
304397|2101|Journeymen|245|T|782895
304401|2101|Honorary Members|28|F|782895
304400|2101|Retirees|173|F|782895
304399|2101|Probationaries|7|F|782895
304398|2101|Apprentices|33|F|782895
304497|2101|REGULAR|1254|T|782930
304502|2102|Agency Fee Payers|0|F|782930
304501|2101|HONORARY MEMBER|105|T|782930
304500|2101|RETIRED|177|T|782930
304499|2101|DISABLED|26|T|782930
304498|2101|APPRENTICE|295|T|782930
305008|2101|Full Dues|9295|T|783285
305010|2101|Quarterly Dues|786|T|783285
305009|2101|Half Dues|3088|T|783285
302188|2101|Journeyman|893|T|780863
302191|2101|Honorary|2|T|780863
302190|2101|Retired|34|T|780863
302189|2101|Apprentice|227|T|780863
301486|2101|Cement Masons|50|T|777695
301489|2101|Plasterers|1|T|777695
301488|2101|Retirees|26|T|777695
301487|2101|Cement Mason Apprentices|1|T|777695
304649|2101|Active Members|13033|T|783020
304650|2102|Agency Fee Payers|153|F|783020
305180|2101|Active members with all rights|557|T|785415
305182|2101|Members not sworn in|45|F|785415
305181|2101|Members on LTD|8|F|785415
301756|2101|JOURNEYMEN MEMBERS|353|T|779380
301760|2102|Agency Fee Payers|0|F|779380
301759|2101|LIFE MEMBERS|42|T|779380
301758|2101|RETIREE MEMBERS|42|T|779380
301757|2101|APPRENTICE MEMBERS|31|T|779380
302175|2101|JOURNEYMAN|852|T|780860
302181|2102|Agency Fee Payers|0|F|780860
302180|2101|CONTRACTOR|1|F|780860
302179|2101|HONORARY MEMBER|90|T|780860
302178|2101|EARLY RETIREE AND DISABLED|106|T|780860
302177|2101|RETIRED MEMBER|112|T|780860
302176|2101|APPRENTICE|166|T|780860
300627|2101|ACTIVE MEMBER|1844|T|756232
300631|2101|OFFICIAL MEMBER|118|F|756232
300630|2101|LIFE MEMBER|506|F|756232
300629|2101|UNEMPLOYED MEMBER|0|F|756232
300628|2101|RETIRED MEMBER|9|F|756232
303953|2101|A|58|T|782647
303955|2102|Agency Fee Payers|6|F|782647
303954|2101|BA|867|T|782647
301991|2101|Journeyman|433|T|780710
301993|2101|Retirees|333|T|780710
301992|2101|Apprentices|98|F|780710
304643|2101|ACTIVE MEMBERS|8494|T|783018
304097|2101|Regular Members|44466|T|782752
304098|2102|Agency Fee Payers|538|F|782752
303912|2101|BA|303|T|782631
303913|2102|Agency Fee Payers|0|F|782631
300882|2101|CAREER EMPLOYEE|932|T|766123
300885|2102|Agency Fee Payers|0|F|766123
300884|2101|RETIREE|396|F|766123
300883|2101|POSTAL SUPPORT EMPLOYEE|129|T|766123
301684|2101|Active Members|1572|T|778054
301687|2102|Agency Fee Payers|0|F|778054
301686|2101|Life Members|128|T|778054
301685|2101|Retired Members|448|T|778054
304913|2101|REGULAR MEMBERS|577|T|783122
304914|2101|RETIRED MEMBERS|155|T|783122
302979|2101|REGULAR MEMBERS|3020|T|782224
302981|2101|LIFE MEMBERS|301|T|782224
302980|2101|RETIRED MEMBERS|579|T|782224
301297|2101|Members - Regular|2120|T|776580
301299|2101|Members - Retired|462|T|776580
301298|2101|Members - Apprentice|334|T|776580
304037|2101|SHOPMAN|222|T|782686
304358|2101|Active Membership|357539|T|782881
304359|2101|Honorary Membership|204|F|782881
300595|2101|ACTIVE MEMBER|416|T|756181
300599|2101|OFFICIAL MEMBER|26|F|756181
300598|2101|LIFE MEMBER|23|F|756181
300597|2101|UNEMPLOYED MEMBER|0|F|756181
300596|2101|RETIRED MEMBER|3|F|756181
303502|2101|Regular Carriers|1010|T|782486
303505|2101|Associate Members|5|F|782486
303504|2101|Retirees|341|T|782486
303503|2101|Relief Carriers|654|T|782486
304875|2101|Members|443|T|783092
304876|2102|Agency Fee Payers|121|F|783092
303358|2101|Bargaining Unit Rural Carriers|2092|T|782390
303359|2101|Retired Rural Carriers|594|T|782390
303377|2101|REGULAR RURAL CARRIERS - PAY FULL DUES|1022|T|782414
303381|2101|ASSOCIATE MEMBERS - PAY FULL DUES|4|F|782414
303380|2101|RETIRED RURAL CARRIERS - PAY SMALLER PORTION OF DUES|366|T|782414
