OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
757333|1103|40.00||||754429
759851|1101|52|month|0|0|755593
769090|1101|50|MONTH|0|0|781974
769091|1103|||||781974
769092|1104|||||781974
769093|1105|||||781974
700285|1101|0|mont|0|0|735251
700286|1103|||||735251
700287|1104|||||735251
700288|1105|||||735251
707006|1101|N/A|N/A|N/A|N/A|737299
707007|1102|1.87%|GROSS WAGES|N/A|N/A|737299
707008|1103|N/A|N/A|N/A|N/A|737299
707009|1104|N/A|N/A|N/A|N/A|737299
707010|1105|N/A|N/A|N/A|N/A|737299
708112|1101|$24.50/$2.50|MONTH|N/A|N/A|737748
708113|1102|$2.34|HOUR|N/A|N/A|737748
708114|1103|$375/$525|INIT|N/A|N/A|737748
708115|1104|$10|TRANS|N/A|N/A|737748
708116|1105|$75|PERMIT|N/A|N/A|737748
709344|1101|37.00|Month|37.00|37.00|738190
709345|1102|||||738190
709346|1103|||||738190
709347|1104|||||738190
709348|1105|||||738190
769094|1101|VARIES|MONTH|6|29|781975
769095|1102|N/A|N/A|N/A|N/A|781975
769096|1103|VARIES|MEMBER|60|200|781975
712839|1101|29.03|2 WEEKS|19.83|29.03|739254
712840|1103|||||739254
712841|1104|||||739254
712842|1105|||||739254
769097|1104|N/A|N/A|N/A|N/A|781975
769098|1105|N/A|N/A|N/A|N/A|781975
769099|1101|50.00|month|0|0|781976
714954|1101|2% OF REGULAR DUES|MONTH|14.90|2% OF 40 HOURS A WEEK|740091
714955|1103|$140.00|N/A|N/A|N/A|740091
714956|1104|N/A|N/A|N/A|N/A|740091
714957|1105|N/A|N/A|N/A|N/A|740091
714958|1101|16.55|MONTH|16.55|16.55|740092
714959|1103|75.00|N/A|N/A|N/A|740092
714960|1104|N/A|N/A|N/A|N/A|740092
714961|1105|N/A|N/A|N/A|N/A|740092
715202|1101|$17.95|MONTH|$17.95|$17.95|740191
715203|1103|N/A|N/A|N/A|N/A|740191
715204|1104|N/A|N/A|N/A|N/A|740191
715205|1105|N/A|N/A|N/A|NA/|740191
715256|1101|$15.40|MONTH|$15.40|$15.40|740213
715257|1102|$10.00|MONTH|N/A|N/A|740213
715258|1103|$75.00|ONCE|N/A|N/A|740213
715259|1104|N/A|N/A|N/A|N/A|740213
715260|1105|N/A|N/A|N/A|N/A|740213
769100|1103|0||||781976
769101|1104|0||||781976
769102|1105|0||||781976
716037|1101|2 1/4 hours|Month|N/A|N//A|740515
716038|1102|||||740515
716039|1103|||||740515
716040|1104|||||740515
716041|1105|||||740515
717021|1101|0|0|10|110|740887
717022|1103|||||740887
717023|1104|||||740887
717024|1105|||||740887
718684|1101|$25.00|Month|0|$25.00|741505
718685|1102||||8% of gross wages|741505
718686|1103|0||0|0|741505
718687|1104|0||0|0|741505
718688|1105|0||0|0|741505
769103|1101|42|month|N/A|N/A|781977
718998|1101|N/A|MONTH|$16.50|$27.00|741633
718999|1103|$50.00|NEW MEMBER|N/A|N/A|741633
719000|1104|N/A|N/A|N/A|N/A|741633
719001|1105|N/A|N/A|N/A|N/A|741633
719002|1101|$13.90|MONTH|N/A|N/A|741636
719003|1103|$40.00|NEW MEMBER|N/A|N/A|741636
719004|1104|$29.58|TRANSFER|N/A|N/A|741636
719005|1105|N/A|N/A|N/A|N/A|741636
719059|1101|$15.00|MONTH|N/A|N/A|741669
719060|1103|N/A|N/A|N/A|N/A|741669
719061|1104|N/A|N/A|N/A|N/A|741669
719062|1105|N/A|N/A|N/A|N/A|741669
719063|1101|17.65|MONTH|N/A|N/A|741670
719064|1103|60.00|NEW MEMBER|N/A|N/A|741670
719065|1104|N/A|N/A|N/A|N/A|741670
719066|1105|N/A|N/A|N/A|N/A|741670
719067|1101|$20.55|MONTH|N/A|N/A|741671
719068|1103|$60.00|NEW MEMBER|N/A|N/A|741671
719069|1104|N/A|N/A|N/A|N/A|741671
719070|1105|N/A|N/A|N/A|N/A|741671
719071|1101|$18.00|MONTH|N/A|N/A|741672
