OID|DESCRIPTION|BOOK_VALUE|RPT_ID
96406|Prepaid Insurance|218432|783072
96407|Prepaid Expenses|212282|783072
95820|Union products available for sale to members|6791|780874
95807|Inventory|7660|780847
95675|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|28100|777750
95663|Contribution Certificate|100|777722
95665|Loan Origination|14375|777722
95664|Utility Deposit|39|777722
95615|RENT DEPOSIT|3264|773958
95853|Inventories|61287|781984
95951|APPAREL INVENTORY |49698|782155
95692|T Shirt Apparrel|3616|777906
96382|INVENTORY OF APPAREL|67240|783036
95932|INVENTORY OF APPAREL |56263|782148
95687|APPAREL INVENTORY (ESTIMATED AND NOT AUDITED)|5176|777847
95816|Inventory|37520|780869
96092|NONE|0|782537
96295|Shirts,Tools, and Hats|17647|782895
96311|UNION PRODUCTS AVAILABLE FOR SALE TO MEMBERS.|3757|782930
96460|Prepaid Insurance|8998|783285
96464|Accrued interest|355|783285
96463|Security Deposit|150|783285
96462|Prepaid expenses|833|783285
96461|Prepaid Maintenance|2010|783285
96362|Gifford Deposit|1373|783020
96365|Operating Lease ROU Asset|28550|783020
96364|Finance Lease ROU Asset|54216|783020
96363|Loan Fees|8000|783020
96491|Prepaid expenses|13080|785415
95813|INVENTORY OF PROMOTIONAL ITEMS FOR MEMBERS|25180|780860
95814|SMALL TOOLS USED BY MEMBERS FOR CHARITY PROJECTS|6568|780860
96159|ACCRUED INTEREST RECEIVABLE|4156|782647
96357|GHQ Other Assets|45|783018
96355|Literature Department Inventory|79698|783018
96356|GHQ "Total Other Assets" Office Rental Deposit|7100|783018
96202|Reserve for Market Value of Investments|221727|782752
96200|Security Deposits|11712|782752
96201|Prepaid Expenses|156850|782752
95516|NONE|0|766123
95710|Prepaid Payroll Taxes and Withholdings|13087|778054
96279|Prepaid Expenses|118330|782881
96280|Deposits|8120|782881
95728|Payroll liabilities prepaid|5269|780547
95619|stamps on hand|55|776437
95798|N/A|0|780830
95459|Inventory: Shirts, Jackets & Pins|4594|761971
95799|none|0|780834
96468|Deferred Revenue from Theft Loss Recovery |158|784393
96469|Other Assets|7850|784393
96447|n/a|0|783187
95496|SECURITY DEPOSIT|8662|766062
95497|PREPAID CONFERENCE & OTHER EXPENSES|154327|766062
95579|Inventory|674|773478
95875|SECURITY DEPOSIT|1300|782034
95732|Deposits|253|780563
95733|Prepaid expenses|4458|780563
96139|Partnership of various labor org land acquisition|51035|782609
96436|Security Deposits|1160|783130
96130|ALABAMA POWER UTILITY DEPOSITS|955|782604
96131|MOBILE WATER UTILITY DEPOSITS|80|782604
96297|Prepaid Expenses|8229|782905
95658|Amount Due from SAL 497 Realty, LLC|14008|777666
95825|Advance to Executive and Assistant Executive Dir.|200|780888
96375|Prepaid expenses|126267|783032
96380|Due from related entities|1550735|783032
96379|Other receivables|20100|783032
96378|Security deposits|86708|783032
96377|Rebates receivables|117887|783032
96376|Accrued income receivable|10082|783032
95867|Prepaid Expenses|3850|782020
96503|Security Deposit|2500|785520
96504|Prepaid Expense|101|785520
96196|PREPAID EXPENSES|3197|782738
96458|SECURITY DEPOSIT|1200|783284
96459|GIFT CARDS|7240|783284
96399|SECURITY DEPOSIT|9124|783061
95612|Lease Deposits|500|773865
95613|Prepaid Expenses|16986|773865
96495|Prepaid Expenses|62421|785474
95711|Prepaid expenses|34472|778063
95713|Exchange account|701239|778063
95712|Security deposit|6603|778063
96433|Prepaid Expenses|17877|783120
96434|Loan Costs net of accumulated amortization|2166|783120
96241|PREPAID EXPENSE|400066|782849
96243|DEBT ISSUE COSTS|2927|782849
96242|SECURITY DEPOSIT|76539|782849
95589|PREPAID EXPENSES|65609|773534
95590|SECURITY DEPOSIT|12465|773534
96438|Prepaid Expenses|27741|783141
96439|Security Deposit|14759|783141
95714|LETTER OF CREDIT|30885|778066
95715|UTILITY DEPOSITS|5408|778066
96107|MISCELLANEOUS RECEIVABLES|181572|782579
96108|PREPAID EXPENSES|85869|782579
95834|PREPAID EXPENSES|4621|781919
95483|INVENTORY OF PROMOTIONAL MERCHANDISE|49000|766034
96203|Inventory of Shirts & Jackets for Sale|29602|782757
96204|Prepaid Expenses|66|782757
96035|Receivable from Apprenticeship Training Trust|1964|782347
96036|Due from Apprenticeship Training Trust|160|782347
96197|Prepaid Expense|15668|782744
96199|Unamortized loan fees|22937|782744
96198|Security Deposit|2367|782744
95784|SECURITY DEPOSIT|1600|780744
95736|Merchandise Inventory|691|780572
95974|INVENTORY OF PROMOTIONAL ITEMS|34965|782243
95545|PREPAID EXPENSES|1435|766254
96173|INVENTORY - SHIRTS|2366|782675
96174|UTILITY DEPOSITS|598|782675
95718|Security Deposit|1350|778093
95678|Due from related party,net of allowance of $28,672|28672|777781
95680|Prepaid Expenses|2800|777781
95679|Dues Rebates Receivable|161008|777781
96068|Security Deposit|4350|782505
95765|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|8276|780688
96070|NONE|0|782511
95858|INVENTORY OF PROMOTIONAL ITEMS|6317|782003
96338|Other receivables |20395|782989
96104|Deposits|1905|782567
95695|Prepaid Annual Meeting Expenses|9655|777929
95698|Prepaid Rent|2211|777929
95697|Prepaid Life Insurance|736|777929
95696|Prepaid Insurance|8029|777929
95608|PENSION FUND|85316|773852
95609|DEPOSITS|56244|773852
95874|SECURITY DEPOSITS|5436|782033
95843|PROMOTIONAL MERCHANDISE ON HAND|28838|781946
96008|PROMOTIONAL MERCHANDISE ON HAND|46725|782299
95848|PROMOTIONAL MERCHANDISE ON HAND|10203|781972
96062|EMPLOYEE DEFERRED COMPENSATION ACCOUNT|163471|782491
96061|PROMOTIONAL MERCHANDISE ON HAND|20552|782491
96240|PROMOTIONAL MERCHANDISE ON HAND|11414|782848
95708|Security Deposit|734|778052
95709|Inventory - Stamps|2900|778052
96078|ADVANCES ON BEHALF OF J A C|133133|782522
96082|PREPAID TAXES|11854|782522
96081|DUE FROM AFFILIATE|75|782522
96080|INVENTORY|3600|782522
96079|PREPAID INSURANCE|29994|782522
96085|PROMOTIONAL MERCHANDISE ON HAND|29606|782525
95871|Prepaid expense|19977|782028
96126|PREPAID REAL ESTATE TAX|151668|782599
96128|DEPOSIT ON ACCOUNT|10000|782599
96127|PREPAID INSURANCE|4607|782599
96374|Deposits|3570|783031
92038|PAYROLL ACCOUNT|100|740515
92039|PETTY CASH ACCOUNT|23|740515
95618|Security Deposit|4400|776379
95666|PREPAID INSURANCE|11163|777729
95671|OTHERS|813|777729
95670|PREPAID OTHER EXPENSES|11730|777729
95669|PREPAID EMPLOYEE BENEFITS|2089|777729
95668|PREPAID DUES AND SUBCRIPTIONS|2800|777729
95667|PREPAID MAINTENANCE AGREEMENT|2700|777729
95961|Payroll Accrual|10491|782213
95501|Deposits and prepaid expenses|250|766080
96313|Movie Pass Inventory|460|782933
96317|Dues Receivable|149480|782933
96316|Warranties|1812|782933
96315|Prepaid Expenses and Condo Fees and Other|15002|782933
96314|Software|1|782933
95838|INTEREST RECEIVABLE|93701|781944
95842|DEPOSITS|753|781944
95841|SOFTWARE, NET OF ACCUM. AMORTIZATION|0|781944
95840|INVENTORY|4622|781944
95839|PREPAID EXPENSES|28659|781944
96037|INVENTORY|15509|782367
95478|PREPAID PER CAPITA|145083|766008
95479|RENT SECURITY DEPOSIT|4900|766008
96205|PROMOTIONAL MERCHANDISE ON HAND|12971|782759
95965|PROMOTIONAL MERCHANDISE ON HAND|6524|782223
96093|ERNEST MONEY AGREEMENT|200000|782546
95576|DEPOSITS FOR FUTURE MEETING|21798|773330
95416|Office lease deposits|1706|756116
95273|SECURITY DEPOSIT|36250|753826
95275|DUES FROM RELATED ORGANIZATIONS|358655|753826
95274|ACCRUED INTEREST|34206|753826
96219|Security Deposit|11050|782786
96220|Prepaid Rent|262669|782786
95701|Prepaid expenses|5433|778005
96134|Refundable deposits|1369|782606
96137|Other receivables|27210|782606
96136|Health and legal trust advanced expenses|4161|782606
96135|Due from affiliates|9252|782606
95726|CREDIT CARD POINTS|8|779384
95826|UNION PRODUCTS AVAILABLE FOR SALE TO MEMBERS|38728|780892
96403|Allowance for Bad Debt|-1603239|783067
96405|Market Value Reserve|5946066|783067
96404|Prepaids & Deposits|1477346|783067
95910|Miscellaneous|7155|782114
96291|DEPOSIT - VENUE FOR SYSTEM COMMITTEES TRAINING|153750|782890
96293|PREPAID SUBSCRIPITION CONTRACT|49000|782890
96292|PREPAID INSURANCE|12110|782890
96400|Promotional Supplies|47451|783062
96401|Office Supplies|218936|783062
95498|Supplies Inventory|12463|766075
95500|Deferred Compensation|600902|766075
95499|Prepaid Deposits|4686|766075
95373|Inventories - Membership Supplies|95702|755599
95374|Security Deposit|23923|755599
95542|RENT DEPOSITS|8630|766219
95543|CONVENTION HOTEL DEPOSITS|6000|766219
96254|INVENTORY OF PROMOTIONAL  ITEMS|215886|782863
96256|CREDIT CARD REWARDS|2584|782863
96255|PREPAID TRAVEL EXPENSE - SEE ITEM 69|8500|782863
95553|Prepaid Expenses|619745|768487
95554|Security Deposit|25773|768487
96281|Mortgage Loan Fees|421438|782882
96287|Allowance for Doubtful Loans Receivable|-192628|782882
96286|Allowance for Doubtful Accounts Receivable|-446561|782882
96285|Leasing Commissions|39592|782882
96284|Travel Advance|2429|782882
96283|Deposits - Meetings|30515|782882
96282|Prepaid Expenses|324739|782882
96044|INVENTORY|188800|782460
96045|DEPOSITS|197176|782460
