RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
754117|3839|3720|||50663|55441|9600|9600|0|0|0|0|0|0|||||
785409|2187|2338|||0|0|0|0|0|0|0|0|0|0|||||
783261|32652|47448|||0|0|0|0|0|0|0|0|0|0|||||
783072|7825873|9433568|4198702|3610785|0|0|3687072|3155115|0|0|517095|430714|2622|0|||||
756415|115896|131073|||0|0|0|0|0|0|0|0|0|0|||||
756328|5077|10931|||0|0|0|0|0|0|0|0|0|0|||||
787028|3936|4951|||0|0|0|240|0|0|0|0|0|0|||||
768509|2868|9537|||0|0|0|0|0|0|0|0|0|0|||||
768506|209176|240304|||0|0|0|0|0|0|0|0|0|0|||||
770791|76694|154931|||0|0|0|0|0|0|0|0|100|100|||||
780874|324339|396365|58357|17945|0|0|||0|0||6791|0|0|||||
777768|9333|21547|||0|0|0|0|0|0|1163|7196|0|0|||||
780847|129236|108083|11566|8611||0||1600|0|0||7660||0|||||
778015|267078|250399|0|0|0|0|0|0|0|0|0|0|0|0|||||
776419|4297|13958|||0|0|0|0|0|0|0|0|0|0|||||
777750|773649|365720|13992|113518|2570980|3617774|106367|57268|0|0|28100|28100|0|0|||||
784402|52567|82781|||0|0|0|0|0|0|0|0|0|0|||||
782825|474747|574466|34745|0|0||14558|2431|0|0|0||0|0|||||
777722|2732231|2350909|||558643|584778|3435079|6266666|0|0|139|14514|||||||
782914|38487|43884|||0|0|0|0|0|0|0|0|0|0|||||
773958|480529|477992|||||2621|3158|0|0|2498|3264|||||||
777677|25184|26631|||0|0|0|0|0|0|0|0|0|0|||||
781984|206217|278250|0|288794|0||0||0|0|42833|61287|0||||||
782155|49191|39422|237357|351409|||||0|0|1096|49698|||||||
782222|318190|248596|0|188129|0|0|7818|0|0|0|0|0|0|0|||||
777906|383290|282487|65565|61256|1876913|2160367|85930|114473|760205|674604|3083|3616|660311|607811|||||
