OID|ACCT_TYPE|NAME|TOTAL|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|RPT_ID
138766|102|All Other Accounts|1896031||||783072
137979|102|All Other Accounts|0|0|0|0|780874
137956|102|All Other Accounts|0|0|0|0|780847
137817|102|All Other Accounts|||||778015
137766|101|NONE ITEMIZED |0|0|0|0|777750
137767|102|All Other Accounts|0|0|0|0|777750
138560|102|All Other Accounts|36100|0|0|0|782825
138159|101|INTERNATIONAL PER CAPITA TAX |54808||||782155
138161|102|All Other Accounts|||||782155
138160|101|REG COUNCIL PER CAPITA TAX |3951||||782155
138183|102|All Other Accounts|||||782222
137793|101|US Bank Credit Card|11137|0|0|0|777906
137796|102|All Other Accounts|||||777906
137795|101|Payroll Taxes|1830|0|0|0|777906
137794|101|Per Capita Dues|25518|0|0|0|777906
138734|102|All Other Accounts|59575|0|0|0|783036
138151|101|INTERNATIONAL PER CAPITA TAX |79552||||782148
138153|102|All Other Accounts|||||782148
138152|101|REG COUNCIL PER CAPITA TAX |5392||||782148
137783|101|INTERNATIONAL PER CAPITA TAX (NOT AUDITED)|56500||||777847
137785|102|All Other Accounts|||||777847
137784|101|REG COUNCIL PER CAPITA TAX (NOT AUDITED)|3824||||777847
137977|102|All Other Accounts|0|0|0|0|780869
138383|101|NONE|0|0|0|0|782537
138384|102|All Other Accounts|0|0|0|0|782537
138652|101|Ironworkers District Council of Southern Ohio & V|9446|0|4662|0|782895
138653|102|All Other Accounts|39571|0|0|0|782895
138836|102|All Other Accounts|14865||||783285
137973|102|All Other Accounts|0|0|0|0|780863
138869|101|International Longshoreman's Workers Union|11714||||785415
138871|102|All Other Accounts|5023||||785415
138870|101|Gilbert & Sackman|35966||||785415
137840|101|TRADE ACCOUNTS PAYABLE|28254|0|0|0|779380
137847|102|All Other Accounts|0|0|0|0|779380
137846|101|ADVANCE RENT RECEIVED|1700|0|0|0|779380
137845|101|STATE OF NH BUSINESS TAXES PAYABLE|103|0|0|0|779380
137844|101|UNREMITTED UA ORGANIZING FUND|10193|0|0|0|779380
137843|101|LABOR/MANAGEMENT AWARDS PAYABLE|197800|0|0|0|779380
137842|101|UNREMITTED PAYROLL TAXES|5969|0|0|0|779380
137841|101|ACCRUED PAID TIME OFF|18416|0|0|0|779380
137969|101|NONE|0|0|0|0|780860
137970|102|All Other Accounts|0|0|0|0|780860
137442|102|All Other Accounts|0|0|0|0|756232
138453|101|AES INDIANA|25160|0|25160|0|782647
138455|102|All Other Accounts|6205|0|0|0|782647
138454|101|INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS|39353|0|0|0|782647
137920|102|All Other Accounts|28668||||780710
138521|101|Due to AFSCME International|2334316|1172050|0|0|782752
138522|102|All Other Accounts|588017|0|0|0|782752
138446|101|IBEW-PER CAPITA|6070|0|0|0|782631
138448|102|All Other Accounts|655||||782631
138447|101|CITIZENS ENERGY|11185|0|0|0|782631
137515|101|NONE|0|0|0|0|766123
137516|102|All Other Accounts|0|0|0|0|766123
137824|101|Credit Cards Payable|8090||||778054
