OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
35825|SBA PPP Loan|0|398703|0|0|398703|782291
34525|NONE|0|0|0|0|0|740213
35834|PPP Loan|0|228778|0|0|228778|782373
35550|Loan from Construction Crafts |20000|0|0|0|20000|754281
35573|EASTERN BANK MORTGAGE|253658||12328||241330|755716
35589|Bank of Labor|399132||40894||358238|756340
35593|N/A|0|0|0|0|0|756469
35594|SBA PPP LOAN|0|52680|0|0|52680|756527
35597|Ford Credit (Larson Ford)|3539|0|3539|0|0|765215
35598|Ford Credit (Larson Ford)|3674|0|3674|0|0|765215
35599|Wayne Motors Inc.|32818|0|15840|0|16978|765215
35600|Chrysler Motors|7289|0|7289|0|0|765215
35601|FORD MOTOR CORP|19593|0|6029|0|13564|765238
35602|FORD MOTOR CORP|26023|0|8007|0|18016|765238
35603|FORD MOTOR CORP|30419|0|7935|0|22484|765238
35604|FORD MOTOR CORP|14410|0|4099|0|10311|765238
35605|FORD MOTOR CORP|18001|0|5016|0|12985|765238
35606|PAYCHECK PROTECTION PROGRAM LOAN|0|209175|0|0|209175|765238
35607|PPP LOAN|0|30000|0|0|30000|765243
35610|NONE|0|0|0|0|0|766034
35612|ohwbst|100000||||100000|766080
35613|155 West 46 Owner LLC|3699129||82799||3616330|766082
35614|NONE|0|0|0|0|0|766123
35615|OPCMIA International Union|50000|0|50000|0|0|766167
35616|IBEW Credit Union auto loan|0|21022|1102|0|19920|766167
35617|U.S. SMALL BUSINESS ADMINISTRATION|0|150000|0|0|150000|766219
35635|Mortgage Loan|513507|0|34671|0|478836|773514
35618|SBA COMMERIAL LOAN|0|108500|||108500|766254
35623|SBA PPP LOAN|9000|0|0|0|9000|768466
35626|St. Mary's Bank|13069|0|13069|0|0|770860
35627|PPP LOAN FORGIVEN|0|401218|0|0|0|773309
35628|SBA PPP LOAN|0|1818330|0|0|1818330|773317
35629|Paycheck Protection Plan|0|273037|0|0|273037|773403
35630|FORD CREDIT|0|33507|2417||31090|773408
35631|FORD CREDIT|0|33338|2404||30934|773408
35632|FORD CREDIT|0|33934|2447||31487|773408
35633|FORD CREDIT|0|33437|2406||31031|773408
35634|SBA - PPP|0|213597|0||213597|773408
35636|EVERSOURCE|5516||5516||0|773526
35637|EVERSOURCE|1574||1574||0|773526
35639|CITIBANK - PPP LOAN|0|10000000|0|0|10000000|773773
35640|Auto Finance Loan|33981|0|16990|0|16991|773780
35641|None|0|0|0|0|0|773865
35642|Desert Community Bank Visa|1421|11079|12362|0|138|773987
35643|Michigan Regional Council of Carpenters|5000|0|5000|0|0|776389
35644|Copier lease Pacific Automation 60 mo|9441|0|2733||6708|776573
35645|SBA Payroll Protection Program|130932|0|0|130932|0|777343
35646|Vehicle loan|38423|0|6577|0|31846|777346
35647|PAYCHECK PROTECTION PROGRAM PROMISSORY NOTE|0|211074|0|0|211074|777353
35648|Xerox Corporation |2893||2220||673|777404
35649|NONE|0|0|0|0|0|777409
35651|VERIZON|0|14640|0|0|14640|777414
35653|NONE|0|0|0|0|0|777550
35654|AUTO LOANS|166139|58658|0|0|224797|777594
35655|PPP loan||144143|||144143|777603
35656|SBA LOAN - PAYCHECK PROTECTION PROGRAM|0|71720|0|0|71720|777619
35657|Associated Bank, NA - Paycheck Protect. Prog. Loan|0|345833|0|345833|0|777667
35658|NONE|0|0|0|0|0|777694
35659|NONE|0|0|0|0|0|777749
35660|ILLINOIS NATIONAL BANK|0|212463|0|0|212463|777750
35661|SBA - PPP LOAN|0|60171|0|0|60171|777786
35662|PPP LOAN INTUIT|0|89627|||89627|777793
35663|CHASE INK|41103|56566|48096||49573|777793
35664|NONE|0|0|0|0|0|777848
35665|NONE|0|0|0|0|0|777905
35666|NONE|0|0|0|0|0|777912
35835|PPP|0|497000|0|0|497000|782378
35667|Notes payable - vehicles|144547|0|71447|0|73100|778023
35668|Notes payable - vehicle|0|84736|10699|0|74037|778023
35673|BANK OF O'FALLON|28438|0|4323|0|24115|778040
35674|NONE|0|0|0|0|0|778103
35675|FORD MOTOR CREDIT CORP |46881|0|7923|0|38958|778137
35676|FORD MOTOR CREDIT CORP |42992|0|6569|0|36423|778137
35677|FORD MOTOR CREDIT CORP |0|40304|1344|0|38960|778137
35678|FORD MOTOR CREDIT CORP |0|40302|671|0|39631|778137
35679|BUSEY BANK|0|19613|3088|0|16525|778138
35680|BUSEY BANK- US SBA|0|112899|0|0|112899|778140
35681|PPP Loan|0|99172|0|0|99172|778591
35682|Payroll Protection Loan|0|58455|0|0|58455|779376
35683|NONE|0|0|0|0|0|779384
35684|PAYCHECK PROTECTION PROGRAM PROMISSORY NOTE|0|197865|0|0|197865|779387
35685|Capital Lease Obligation|1312|0|1128|0|184|780544
35686|Laborers' Local 621 Training Fund|15995|9815|15995|0|9815|780544
35687|Paycheck Protection Program Loan|30064|0|0|30064|0|780544
35688|2021 GMC Sierra Loan|0|28757|1278|0|27479|780544
35689|NONE|0|0|0|0|0|780557
35690|NONE|0|0|0|0|0|780558
35691|KONICA MINOLTA PREMIER FINANCE|0|3970|991|0|3258|780575
35692|Loans Payable|0|0|0|0|0|780578
35693|PAYROLL PROTECTION PROGRAM|513700|0|513700|0|0|780587
35694|NONE|0|0|0|0|0|780599
35695|SBA PAYCHECK PROTECTION PROGRAM LOAN|0|137871|0|0|137871|780616
35696|NONE|0|0|0|0|0|780644
35697|CITIZENS BANK PPP LOAN|131300|0|131300|0|0|780651
35698|AUTOMOBILE LOANS|28135||9369||18766|780654
35699|NONE|0|0|0|0|0|780661
35700|Paycheck Protection Program|0|248210|0|0|248210|780664
35701|NONE|0|0|0|0|0|780668
35702|N/A|0|0|0|0|0|780670
35703|Wesbanco / SBA PPP Loan|0|59520|0|0|59520|780684
35704|NONE|0|0|0|0|0|780688
35705|PPP LOAN||133917|||133917|780692
35706|Bank of Labor|539986|0|8001|0|531985|780702
35707|Payroll Protection Program - SBA |0|83179|0|0|83179|780702
35708|SBA Loan|149900|4311|3746||150465|780710
35709|PPP Loan|0|95570||95570|0|780710
35710|Paycheck Protection Program Loan|0|336444|0||336444|780712
35711|Bank of Labor|428786|0|22792|0|405994|780732
35712|PPP - Bank of Labor|0|106361|0|0|106361|780732
35714|SBA PPP LOAN|0|177600|0|0|177600|780738
35715|Optus Bank - Paycheck Protection Program Loan|0|26265|0|0|26265|780745
35716|Small Business Administration - PPP Loan|0|147015|0|0|147015|780747
35717|PPP LOAN|0|320458|||320458|780750
35718|SMALL BUSINESS ADMINISTRATION - PPP LOAN|0|396296|0|0|396296|780756
35719|Power Credit Union|145102||18290||126812|780769
35720|Bank of Labor Loan 4.65% due 5/1/23|2339528|0|2339528|0|0|780785
35721|Bank of Labor Line of Credit 3.25% due 3/20/21|200000|300000|500000|0|0|780785
35722|Bank of Labor Loan 4.00% due 1/27/26|0|2568302|41077|0|2527225|780785
35723|Bank of Labor PPP Loan 1% due 4/2/26|0|279836|0|0|279836|780785
35724|PPP loan-Connection Bank|0|60200|||60200|780787
35725|none|0|0|0|0|0|780834
35726|PPP Loan|0|87126|0|0|87126|780837
35727|Paycheck Protection Program|0|90545|0|0|90545|780856
35728|SBA PPP LOAN - BANK OF ZACHARY|0|105568|0|0|105568|780857
35729|NONE|0|0|0|0|0|780860
35730|Paycheck Protection Program Loan|0|5617355|0|0|5617355|780872
35731|OE FCU - - 2016 Taurus|6313||5490||823|780876
35732|OE FCU - 2018 Chrysler|6318||5464||854|780876
35733|PPP LOan||129020|||129020|780876
35734|Payroll Protection Program|0|662080|0|0|662080|780896
35735|BB&T - Mortgage|198353||21359||176994|780898
35736|NONE|0|0|0|0|0|781886
35737|NONE|0|0|0|0|0|781891
35738|SBA - PAYCHECK PROTECTION PROGRAM|0|150451|||150451|781896
35739|NONE|0|0|0|0|0|781904
35740|FORD CREDIT|82957|0|17635|0|65322|781916
35741|PPP Loan- Clearview FCU|0|203187|0|0|203187|781916
35742|CAR LOAN|0|24021|24021|0|0|781944
35743|CAR LOAN|0|16085|16085|0|0|781944
35744|NONE|0|0|0|0|0|781949
35745|Ford Credit|1113|0|1113|0|0|781950
35746|FIRST SOUTHERN BANK|407570||20336|387234|0|781952
35747|FORD CREDIT|15664||8301||7363|781952
35748|XEROX|3850||2052||1798|781952
35749|FRST SOUTHERN PPP LOAN|0|41667|||41667|781952
35750|AUTOMOBILE LOANS|23810|65851|17367|0|72294|781962
35751|PPP LOAN|0|186695|0|0|186695|781962
35752|PPP Loan Payable||75719||0|75719|781979
35753|PACIFIC NW IRONWKRS CU|19924|0|4498|0|15426|781989
35754|TIAA Commercial Finance - Capital Lease Obligation|8474|0|2663|0|5811|781995
35755|NONE|0|0|0|0|0|782003
35756|NONE|0|0|0|0|0|782010
35757|Paycheck Protection Program|0|44940|0|44940|0|782013
35758|PPP LOAN|0|96064|0|0|96064|782018
35759|Payroll Protection Program Loan|0|56955|0|0|56955|782020
35760|NONE|0|0|0|0|0|782027
35761|Paycheck protection program loan|0|178922|0|0|178922|782030
35762|Small Business Administration|0|52930|0|0|52930|782042
35763|SBA PPP LOAN|0|256067|0|0|256067|782048
35764|SMALL BUSINESS ADMINISTRATION - PPP LOAN|0|84897|0|0|84897|782069
35765|FORD CREDIT|0|25643|4273|0|21370|782069
35766|NO CA CARPENTERS REGIONAL COUNCIL|1407065|0|65711|0|1341354|782083
35767|Paycheck Protection Program Loan|0|119045|||119045|782085
35768|Xerox|11789|0|11789|0|0|782100
35769|Carousel|12290|0|11306|0|984|782100
35770|Presidio|59545|0|36948|0|22597|782100
35771|Presidio|44487|0|11471|0|33016|782100
35772|Presidio|72159|0|32606|0|39553|782100
35773|Presidio|173814|0|35290|0|138524|782100
35774|Presidio|0|282533|35635|0|246898|782100
35775|Wells Fargo SBA Loan|170900|0|17000|0|153900|782103
35776|CENTIER BANK (PPP LOAN)|0|36156|0|0|36156|782106
35777|Bank of Labor - Line of Credit|490000|0|260000|0|230000|782116
35778|MORE Investment Loan|750000|0|0|0|750000|782116
35779|PPP Loan|0|202950|0|0|202950|782116
35780|SBA PAYCHECK PROTECTION PROGRAM LOAN|0|251351|0|0|251351|782117
35781|Ally Auto|2927|0|2927|0|0|782120
35782|Ford Motor Credit|16995|0|5666|0|11329|782120
35783|Ford Motor Credit|15488|0|6950|0|8538|782120
35784|Ford Motor Credit|0|27435|2679|0|24756|782120
35785|Ford Motor Credit|0|23422|729|0|22693|782120
35786|BANK OF LABOR (PAYCHECK PROTECTION PROGRAM LOAN)|0|479074|0|479074|0|782122
35787|NONE|0|0|0|0|0|782126
35788|NONE|0|0|0|0|0|782131
35789|NONE|0|0|0|0|0|782132
35790|Paycheck Protection Program Loan by U.S. SBA|0|244476|0|0|244476|782137
35791|Automobile Loan|7563|0|7563|0|0|782139
35792|Paycheck Protection Program Loan|0|92185|0|0|92185|782141
35793|AMALGAMATED BANK|9097057|282943|10000|9370000|0|782146
35794|ARI INC - AUTOMOBILE CAPIAL LEASE|1581861|1036386|1353371|0|1264876|782151
35795|COMMERCE BANK|2670899||457887||2213012|782153
35796|COMMERCE BANK - BUILDING COMPANY|1837531||80342||1757189|782153
35797|PPP LOAN||631686|||631686|782153
35798|PPP Loan Payable|0|58785|0|0|58785|782156
35799|NONE|0|0|0|0|0|782161
35800|BANK OF LABOR||71682|0|0|0|782166
35801|BANK OF LABOR|460922|0|50478|0|410444|782167
35802|SBA LOAN|0|134987|0|0|134987|782167
35803|M&T BANK|0|635227|0|0|635227|782174
35836|BANK OF AMERICA|14551833|0|866667|0|13685166|782460
35837|PPP LOAN - FIRST FINANCIAL BANK|0|158500|0|0|158500|782463
35804|SBA LOAN ||116782|||116782|782176
35805|SBA LOAN |149900||641||149259|782176
35806|PROMISSORY NOTE|11694|0|11694|0|0|782200
35807|NONE|0|0|0|0|0|782221
35809|NONE|0|0|0|0|0|782243
35810|NONE|0|0|0|0|0|782248
35811|Bank of Labor|241872|0|164093|0|77779|782251
35812|Lawless, Inc.|4957|0|4957|0|0|782255
35813|None|0|0|0|0|0|782256
35814|NONE|0|0|0|0|0|782266
35815|Payroll Protection Program Loan||603540|0|0|603540|782271
35816|NONE|0|0|0|0|0|782276
35817|N/A|0|0|0|0|0|782278
35818|Automobile Loan|5191|0|5191|0|0|782283
35819|Paycheck Protection Program Loan|0|371060|0|0|371060|782287
35820|FIRST COLLINSVILLE BANK |2530||2530||0|782288
35821|FIRST COLLINSVILLE BANK |2060||2060||0|782288
35822|FIRST COLLINSVILLE BANK |15711||15711||0|782288
35823|FIRST COLLINSVILLE BANK|16464||8426||8038|782288
35824|SBA - PPP|0|806272|||806272|782288
35826|OLD NATIONAL BANK|0|200000|45527|0|154473|782293
35827|NONE|0|0|0|0|0|782298
35828|PAYCHECK PROTECTION PROGRAM NOTE|0|144005|0|0|144005|782304
35829|GM Financial - Auto Loan|32871||32871||0|782309
35830|GM Financial - Auto Loan||45114|2153||42961|782309
35831|NONE|||||0|782319
35832|N/A|0|0|0|0|0|782331
35833|Diamond Credit Union|4137|0|4137|0|0|782365
35838|Ford Credit|53058||9647||43411|782469
35839|Bank of Labor|0|103373|||103373|782469
35840|SUNTRUST BANK|6419||6419||0|782476
35841|HOME FEDERAL BANK|0|32626|9000||23626|782476
35843|BANK OF LABOR - PPP LOAN|0|39462|0|0|39462|782484
35844|T.D. BANK|1157981|0|58416|0|1099565|782487
35845|Bank of Labor|890467||138498||751969|782489
35846|NO CA CARPENTERS REGIONAL COUNCIL|1315960|0|192731|0|1123229|782491
35847|UNITED FCU|224592|0|6897|0|217695|782495
35848|KONICA|36336||7086||29250|782497
35849|CARES Act PPP Loan|145096|||145096|0|782497
35850|CARES Act PPP Loan||156912||156912|0|782497
35851|Cares Act PPP Loan|0|81384|0|0|81384|782509
35852|NONE|0|0|0|0|0|782511
35853|N/A|0|0|0|0|0|782513
35854|PPP LOAN|0|520833|0|0|520833|782515
35855|CADENCE BANK LINE OF CREDIT|15945|0|15945|0|0|782520
35856|PPP1 LOAN|21824|0|0|21824|0|782522
35857|PPP2 LOAN|0|30555|0|0|30555|782522
35858|PPP LOAN|0|470109|0|0|470109|782524
35859|NONE|0|0|0|0|0|782527
35860|M&T Bank|8938148|0|1624441||7313707|782529
35861|GM FINANCIAL-2019 CHEVY TRAVERSE|23491||6512||16979|782536
35862|NONE|0|0|0|0|0|782537
35863|NONE|0|0|0|0|0|782551
35864|SBA Payroll Protection Loan|0|99750|0|0|99750|782553
35865|Bank of America Credit Cards - Net|292|15334|13200||2426|782558
35866|None|0|0|0|0|0|782560
35867|N/A|0|0|0|0|0|782561
35868|GM Financial|1885||1885||0|782566
35869|Mid Hudson FCU|178187||37833||140354|782566
35870|Ally Bank|0|18770|3812||14958|782566
35871|N/A|0|0|0|0|0|782580
35872|Not Applicable|0|0|0|0|0|782582
