OID|DESCRIPTION|AMOUNT|RPT_ID
151139|Accrued Rent|1847000|783072
151145|Stale Dated Checks to be Investigated|51590|783072
151144|Accruals for Pension Related Issues|58324|783072
151143|Security Deposit|94277|783072
151142|Accrued Vacation and Comp Time|163823|783072
151141|Accrued Severance and Sick Pay|1151261|783072
151140|Deferred Rent|674586|783072
150147|Vacation deduction payable|1001|780847
149957|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|8215|777750
149958|DUE TO AFFILIATES FOR TRANSMITTAL TO THEM|5012|777750
149943|Death Benefit Payable|170616|777722
149946|Credit Card Payable|3929|777722
149945|Scholarship Fund Payable|226798|777722
149944|PAC Fund Payable|148942|777722
150236|Payroll Liabilities|862|781984
150237|Credit Card Liabilities|1469|781984
150396|CREDIT CARD PAYABLE|486|782155
150370|CREDIT CARD PAYABLE|3232|782148
149984|CREDIT CARD PAYABLE|2777|777847
149985|PAYROLL WITHHOLDINGS WITHHELD BUT NOT DISBURSED|1720|777847
150160|Vacation deduction payable|865|780869
150642|PAYROLL DEDUCTIONS AND RELATED ACCRUALS|3987|782537
150964|Payroll Liabilities|3436|782895
151006|PAYROLL LIABIITIES|1125|782930
151219|Accrued sick leave|73167|783285
151226|Retirement - St. Tammany|470|783285
151225|AFLAC Insurance payable|30|783285
151224|Retirement payable - Crowley|273958|783285
151223|Credit card payable|3227|783285
151222|Payroll taxes|39|783285
151221|Accrued vacation|78071|783285
151220|Accrued compenstory time|5738|783285
149942|Transfer of net assets to OPCMIA Local 254|96014|777695
151264|Employee benefits|20111|785415
151265|Accrued expenses|547|785415
150154|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|4622|780860
150107|Accrued Payroll Taxes|1793|780710
151084|DUE TO BRANCHES|113478|783018
151085|FUNDS SET ASIDE FOR COMMITTEES AND CAMPAIGNS|101732|783018
150807|Accrued Vacation|708793|782752
150811|Other Withholdings|40404|782752
150810|Post-Retirement Costs Payable|69263376|782752
150809|Severance Payable|1976649|782752
150808|Fair Share Objectors' Payable|586|782752
149659|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|8890|766123
151178|PAYROLL TAXES & WITHHOLDINGS PAYABLE|2221|783122
150425|PAYROLL LIABILITIES|48|782224
150930|ACCRUED SALARIES AND OTHER |207647|782881
150931|DEFERRED REVENUES|2207168|782881
150596|Payroll Liabilities|2840|782486
150564|Payroll liabilities|1523|782390
150570|payroll taxes|13466|782414
150566|Fringe Benefits, Retirement, Health Insurance|25824|782406
150569|State Tax|806|782406
150568|Federal Unemployment|15|782406
150567|Federal SS and Medicare withheld|3945|782406
150135|PAYROLL LIABILITIES|5191|780827
150136|CREDIT CARD|120|780827
150722|Employee benefits|9233|782615
150723|Payroll Tax Liabilities|167|782615
150519|MISCELLANEOUS PAYROLL WITHHOLDINGS|5477|782324
150430|Accrued payroll liabilities|8424|782228
150571|Payroll liabilities|3271|782415
150699|ACCRUED EXPENSES|5873|782598
150137|PAYROLL TAX LIABILITIES|279|780830
150012|Payroll Tax Liabilities|5353|778028
150006|ACCRUED ANNUAL LEAVE AND SICK LEAVE|14938|777993
150007|PAYROLL LIABILITIES|2956|777993
149955|Payroll Liabilities of Accrued Sick Leave|37290|777744
150138|none|0|780834
149527|ACCRUED PAYROLL TAXES|2418|756053
149345|PAYROLL WITHHOLDINGS|919|754493
151230|Payroll Taxes|4888|784393
151231|Deferred Revenue for Theft Loss Recovery|3850|784393
151206|n/a|0|783187
149629|CREDIT CARD LIABILITIES|32308|766062
149630|PAYROLL LIABILITIES|11002|766062
150272|PAYROLL TAXES PAYABLE|1353|782034
150532|Per capita taxes collected|24782|782333
150533|Credit cards payable|6716|782333
150862|WITHHELD BENEFITS|6473|782835
151179|Regions Bank Visa Card|210|783130
151180|Payroll Tax Liability|830|783130
150705|DUE TO ILA - PER CAPITA REMITTANCE|494|782604
150709|FUTA|81|782604
150708|SUI|169|782604
150707|ALABAMA TAX WITHHOLDINGS|1044|782604
150706|FICA/MED/FEDERAL WITHHOLDINGS|5568|782604
150966|Accrued Expenses|5622|782905
149935|Payroll Liabilities|1939|777666
150170|Vacation Withholding|472|780888
150173|Vacation Time Earned But Not Paid Out|46959|780888
150172|CLIC Withholding|142|780888
150171|Work Fees Withholding|342|780888
149559|SECURITY DEPOSITS|295308|756336
151101|Accrued salaries payable|215599|783032
151104|Other payables|493490|783032
151103|Withheld payable|16753|783032
151102|Accrued vacation & sick pay payable|360066|783032
150257|Payroll Liabilities |1934|782020
151283|Payroll Liabilities|1464|785520
150795|ACCRUED PAYROLL|8101|782738
150797|PAYROLL LIABILITIES|648|782738
150796|SECURITY DEPOSITS|3150|782738
144792|Payroll Taxes Payable |1652|742310
144793|Security Deposit  |1600|742310
151161|NLRB Settlement Agreement Case No. 08-CB-206215|5600|783097
151218|PAYROLL TAXES PAYABLE|327|783284
