OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
760975|1201|PLAYER MARKETING|2020-09-21|83210|2806198|755825
762212|1201|Legal Settlement|2020-12-18|28777|2812966|768487
762213|1201|Legal Settlement|2020-12-04|55142|2812966|768487
762214|1201|Legal Settlement|2020-10-30|60957|2812966|768487
762215|1201|Legal Settlement|2020-09-25|60883|2812966|768487
762216|1201|Legal Settlement|2020-08-27|51571|2812966|768487
762217|1201|Legal Settlement|2020-07-31|28626|2812966|768487
762218|1201|Legal Settlement|2020-06-29|48311|2812966|768487
762219|1201|Legal Settlement|2020-05-28|26565|2812966|768487
762220|1201|Legal Settlement|2020-05-05|31631|2812966|768487
762221|1201|Legal Settlement|2021-03-26|48236|2812966|768487
762222|1201|Legal Settlement|2021-02-26|58084|2812966|768487
762223|1201|Legal Settlement|2020-06-05|8650|2812967|768487
762224|1201|Legal Settlement|2020-10-29|10000|2812968|768487
762225|1201|Legal Settlement|2020-10-08|10000|2812969|768487
760162|1201|TWC Grant |2020-02-11|12350|2801212|754281
760163|1201|TWC Grant|2020-02-13|57752|2801212|754281
760164|1201|TWC Grant|2020-03-10|9733|2801212|754281
760165|1201|Build Houston Better MOU|2020-03-03|25000|2801217|754281
760166|1201|Build Houston Better MOU|2020-06-23|25000|2801217|754281
760167|1201|Build Houston Better MOU|2020-07-07|12500|2801217|754281
760229|1201|ORGANIZING GRANT |2020-02-12|8000|2801491|754634
760230|1201|ORGANIZING GRANT|2020-03-11|8000|2801491|754634
760231|1201|ORGANIZING GRANT |2020-04-07|8000|2801491|754634
760232|1201|ORGANIZING GRANT |2020-05-05|8000|2801491|754634
760233|1201|ORGANIZING GRANT |2020-06-10|8000|2801491|754634
760234|1201|ORGANIZING GRANT |2020-07-08|8000|2801491|754634
760235|1201|ORGANIZING GRANT |2020-08-12|8000|2801491|754634
760236|1201|ORGANIZING  GRANT |2020-09-09|8000|2801491|754634
760237|1201|ORGANIZING GRANT |2020-10-07|8000|2801491|754634
760238|1201|ORGANIZING GRANT |2020-11-11|8000|2801491|754634
760239|1201|ORGANIZING GRANT |2020-12-09|8000|2801491|754634
760240|1201|ORGANIZING GRANT |2021-01-13|8000|2801491|754634
760241|1201|REIMBURSED EXPENSES|2020-04-21|14110|2801494|754634
760242|1201|REIMBURSED EXPENSES|2020-05-12|14110|2801494|754634
760243|1201|REIMBURSED EXPENSES|2020-02-12|14110|2801494|754634
760244|1201|REIMBURSED EXPENSES|2020-03-11|14110|2801494|754634
760245|1201|REIMBURSED EXPENSES|2020-07-08|14110|2801494|754634
760246|1201|REIMBURSED EXPENSES|2020-07-15|14110|2801494|754634
760247|1201|REIMBURSED EXPENSES|2020-08-19|14110|2801494|754634
760248|1201|REIMBURSED EXPENSES|2020-09-23|14110|2801494|754634
760249|1201|REIMBURSED EXPENSES|2020-10-28|14110|2801494|754634
760250|1201|REIMBURSED EXPENSES|2020-11-18|14110|2801494|754634
760251|1201|REIMBURSED EXPENSES|2020-12-16|14110|2801494|754634
760252|1201|REIMBURSED EXPENSES|2021-01-27|14110|2801494|754634
760290|1201|ADMINISTRATION FEE REIMBURSEMENT|2020-05-28|9319|2801576|754735
760291|1201|ADMINISTRATION FEE REIMBURSEMENT|2020-09-01|6556|2801576|754735
760292|1201|ADMINISTRATION FEE REIMBURSEMENT|2020-09-29|6356|2801576|754735
760293|1201|ADMINISTRATION FEE REIMBURSEMENT|2020-10-29|6574|2801576|754735
760294|1201|ADMINISTRATION FEE REIMBURSEMENT|2020-12-18|6538|2801576|754735
760295|1201|ADMINISTRATION FEE REIMBURSEMENT|2021-01-15|6247|2801576|754735
760490|1201|Royalties|2021-02-12|9910|2802521|755599
760491|1201|Royalties|2020-04-16|9573|2802521|755599
760492|1201|Royalties|2020-04-29|21215|2802521|755599
760493|1201|Royalties|2020-07-01|9546|2802521|755599
760494|1201|Royalties|2020-10-09|9590|2802521|755599
760495|1201|Royalties|2020-12-16|7216|2802521|755599
760496|1201|Security Deposit Refund|2021-01-27|17224|2802522|755599
760497|1201|Insurance Refund|2020-08-11|6685|2802523|755599
760498|1201|Refund of Benefit Claims Paid to Members|2020-11-06|29500|2802524|755599
