RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
754117|15638|0|0|||5|||8981||0||||
785409|12244|0|0|||0|||0||300||||
783261|14796|0|0|||0|||0||0||||
783072|28272297|0|0|33158|0|3730|0|417292|0|0|4466561|0|0||3547
756415|129314|0|0|||0|||0||4425||||
756328|14573|0|0|||4|||0||0||||
787028|5636|0|14|||0|||0||10168||||
768509|4336|0|0|||0|||182||5378||||
768506|29848|0|0|||7864|||0||0||||
770791|16471|0|0|||959|||0||66625||||
780874|414718|0||425|0|0|388|0|9643||2579|0|5872||2579
777768|6530|22863|0|||0|||0||0||||
780847|242324|0|0|140|0|111|0|0|25575||12140|100|0|0|3327
778015|392642|0|0|3020|0|815|0|0|15560|0|104881|0|0||2589
776419|24795|0|0|||0|||0||1||||
777750|2132047|2700|0|0|0|0|46794|0|0|212463|878280|2130322|0||3280
784402|27242|0|0|||3|||0||11324||||
782825|873528|0|15200|0|0|0|0|0|0|82040|120851|13750|0|0|851
777722|492688|0|108373|13385||37001|6171|543690|1965302||415160|0|216840||0
782914|23984|0|0|||125|||0||20790||||
773958|126743|0||0||28|0|0|0||17323|0|0||5711
777677|10870|0|0|||0|||0||70||||
781984|1163117|0||32174||0|0|0|91872||0|0|33122||
782155|919202|0||39280||0|0|0|62802||5813|10807|0||5813
782222|1260500|0|0|30113|0|0|0|0|83340|0|37745|0|0|0|788
777906|853795|0|1190406|478|52500|40920|13045|0|1647267|0|324027|0|0||9983
783036|1130658|0||29816|0|0|0|0|0||27070|0|0||3001
782148|1368428|0||44643||0|0|0|108234||14878|18057|0||2745
777847|951349|0||9420||0|0|0|59844||6816|20829|0||6816
773450|21800|0|0|||0|||0||0||||
780869|941451|0|0|20529|0|0|0|0|82404||15979|11778|0|0|3947
782537|247736|0|0|0|0|1313|0|0|0|0|22900|0|0||
782895|590689|0|74036|4925|1939|709|5551|15000|0|41023|27954|222657|12143||13259
778111|17100|0|0|||0|||0||0||||
773849|21540|0|0|||0|||0||0||||
756287|13493|0|0|||218|||0||0||||
782930|375368|0||0||0|0|0|0||29361|1102|0||13449
782547|26892|0|0|||7|||0||0||||
783285|0|1722737|770000|0|1919|19662|5208|0|0||170885|0|0||4612
780863|258010|0|0|0|0|0|0|0|12070||3711|0|0|0|3711
785357|20970|0|0|||0|||0||0||||
785210|0|0|0|||0|||0||49||||
773970|89920|0|0|||0|||0||5000||||
785174|19620|0|0|||0|||0||0||||
777695|33046|0||0||0|0|0|0||0|0|0||
783020|8938414|0|400000|11013|0|5739|0|0|0|0|578620|52177|2082|0|184456
783247|26966|0|0|||29|||0||0||||
776425|9836|0|0|||0|||0||0||||
768545|7061|0|0|||107|||0||6509||||
782794|17602|0|0|||72|||0||0||||
768455|27167|0|0|||275|||0||0||||
783110|156164|0|0|||0|||0||15935||||
780730|217670|0|0|||21|||0||110||||
785415|698284|0||0||633|0|0|0||2282|0|0||2282
777298|84926|0|0|||32|||4008||2000||||
777558|17730|0|0|||0|||0||179||||
782385|0|27360|0|||7|||0||0||||
780696|19452|0|0|||30|||150||10000||||
779380|162269|0|0|1674|0|1567|27907|100650|0|0|654474|0|0||10077
780860|301847|0|0|300|0|114|26750|0|151041|0|342|0|0|119117|342
780609|0|5379|0|||480|||0||154594||||
783043|90401|0|0|||622|||0||0||||
779311|80155|0|0|||5|||0||68||||
756232|1441045|0||0|0|14868|0|0|84831||21887|204|317615||6494
782647|817015|0||750||24011|0|0|0||13934|0|0||13934
786985|0|20655|0|||138|||0||0||||
785622|104636|0|0|||43|||780||25484||||
780710|1117858|0|1700400|0||13274|5713|6000|9040|99881|88333|22256|331948||
